Cluster,label,totalDataPoints,PercentLabelInCluster, numberOfDataPointsPerLabelInCluster,percentOfLabelTypeInCluster
Cluster 1,15 below,50.0,0.12,6.0,0.18181818181818182
Cluster 1,16-19,50.0,0.18,9.0,0.2727272727272727
Cluster 1,20-29,50.0,0.1,5.0,0.45454545454545453
Cluster 1,30-39,50.0,0.14,7.0,0.2692307692307692
Cluster 1,40-49,50.0,0.38,19.0,0.5135135135135135
Cluster 1,50+,50.0,0.08,4.0,0.12121212121212122

Cluster 2,15 below,32.0,0.15625,5.0,0.15151515151515152
Cluster 2,16-19,32.0,0.53125,17.0,0.5151515151515151
Cluster 2,20-29,32.0,0.03125,1.0,0.09090909090909091
Cluster 2,30-39,32.0,0.03125,1.0,0.038461538461538464
Cluster 2,40-49,32.0,0.0625,2.0,0.05405405405405406
Cluster 2,50+,32.0,0.1875,6.0,0.18181818181818182

Cluster 3,15 below,25.0,0.12,3.0,0.09090909090909091
Cluster 3,16-19,25.0,0.0,0.0,0.0
Cluster 3,20-29,25.0,0.04,1.0,0.09090909090909091
Cluster 3,30-39,25.0,0.08,2.0,0.07692307692307693
Cluster 3,40-49,25.0,0.32,8.0,0.21621621621621623
Cluster 3,50+,25.0,0.44,11.0,0.3333333333333333

Cluster 4,15 below,7.0,0.14285714285714285,1.0,0.030303030303030304
Cluster 4,16-19,7.0,0.0,0.0,0.0
Cluster 4,20-29,7.0,0.0,0.0,0.0
Cluster 4,30-39,7.0,0.0,0.0,0.0
Cluster 4,40-49,7.0,0.42857142857142855,3.0,0.08108108108108109
Cluster 4,50+,7.0,0.42857142857142855,3.0,0.09090909090909091

Cluster 5,15 below,56.0,0.32142857142857145,18.0,0.5454545454545454
Cluster 5,16-19,56.0,0.125,7.0,0.21212121212121213
Cluster 5,20-29,56.0,0.07142857142857142,4.0,0.36363636363636365
Cluster 5,30-39,56.0,0.2857142857142857,16.0,0.6153846153846154
Cluster 5,40-49,56.0,0.05357142857142857,3.0,0.08108108108108109
Cluster 5,50+,56.0,0.14285714285714285,8.0,0.24242424242424243

Cluster 6,15 below,3.0,0.0,0.0,0.0
Cluster 6,16-19,3.0,0.0,0.0,0.0
Cluster 6,20-29,3.0,0.0,0.0,0.0
Cluster 6,30-39,3.0,0.0,0.0,0.0
Cluster 6,40-49,3.0,0.6666666666666666,2.0,0.05405405405405406
Cluster 6,50+,3.0,0.3333333333333333,1.0,0.030303030303030304

