Cluster,label,totalDataPoints,PercentLabelInCluster, numberOfDataPointsPerLabelInCluster,percentOfLabelTypeInCluster
Cluster 1,15 below,138.0,0.2028985507246377,28.0,0.8484848484848485
Cluster 1,16-19,138.0,0.11594202898550725,16.0,0.48484848484848486
Cluster 1,20-29,138.0,0.07246376811594203,10.0,0.9090909090909091
Cluster 1,30-39,138.0,0.17391304347826086,24.0,0.9230769230769231
Cluster 1,40-49,138.0,0.2536231884057971,35.0,0.9459459459459459
Cluster 1,50+,138.0,0.18115942028985507,25.0,0.7575757575757576

Cluster 2,15 below,35.0,0.14285714285714285,5.0,0.15151515151515152
Cluster 2,16-19,35.0,0.4857142857142857,17.0,0.5151515151515151
Cluster 2,20-29,35.0,0.02857142857142857,1.0,0.09090909090909091
Cluster 2,30-39,35.0,0.05714285714285714,2.0,0.07692307692307693
Cluster 2,40-49,35.0,0.05714285714285714,2.0,0.05405405405405406
Cluster 2,50+,35.0,0.22857142857142856,8.0,0.24242424242424243

Cluster 3,15 below,0.0,0.0,0.0,0.0
Cluster 3,16-19,0.0,0.0,0.0,0.0
Cluster 3,20-29,0.0,0.0,0.0,0.0
Cluster 3,30-39,0.0,0.0,0.0,0.0
Cluster 3,40-49,0.0,0.0,0.0,0.0
Cluster 3,50+,0.0,0.0,0.0,0.0

Cluster 4,15 below,0.0,0.0,0.0,0.0
Cluster 4,16-19,0.0,0.0,0.0,0.0
Cluster 4,20-29,0.0,0.0,0.0,0.0
Cluster 4,30-39,0.0,0.0,0.0,0.0
Cluster 4,40-49,0.0,0.0,0.0,0.0
Cluster 4,50+,0.0,0.0,0.0,0.0

Cluster 5,15 below,0.0,0.0,0.0,0.0
Cluster 5,16-19,0.0,0.0,0.0,0.0
Cluster 5,20-29,0.0,0.0,0.0,0.0
Cluster 5,30-39,0.0,0.0,0.0,0.0
Cluster 5,40-49,0.0,0.0,0.0,0.0
Cluster 5,50+,0.0,0.0,0.0,0.0

Cluster 6,15 below,0.0,0.0,0.0,0.0
Cluster 6,16-19,0.0,0.0,0.0,0.0
Cluster 6,20-29,0.0,0.0,0.0,0.0
Cluster 6,30-39,0.0,0.0,0.0,0.0
Cluster 6,40-49,0.0,0.0,0.0,0.0
Cluster 6,50+,0.0,0.0,0.0,0.0

