Cluster,label,totalDataPoints,PercentLabelInCluster, numberOfDataPointsPerLabelInCluster,percentOfLabelTypeInCluster
Cluster 1,15 below,7.0,0.14285714285714285,1.0,0.030303030303030304
Cluster 1,16-19,7.0,0.0,0.0,0.0
Cluster 1,20-29,7.0,0.0,0.0,0.0
Cluster 1,30-39,7.0,0.0,0.0,0.0
Cluster 1,40-49,7.0,0.42857142857142855,3.0,0.08108108108108109
Cluster 1,50+,7.0,0.42857142857142855,3.0,0.09090909090909091

Cluster 2,15 below,134.0,0.20149253731343283,27.0,0.8181818181818182
Cluster 2,16-19,134.0,0.11940298507462686,16.0,0.48484848484848486
Cluster 2,20-29,134.0,0.07462686567164178,10.0,0.9090909090909091
Cluster 2,30-39,134.0,0.1865671641791045,25.0,0.9615384615384616
Cluster 2,40-49,134.0,0.23880597014925373,32.0,0.8648648648648649
Cluster 2,50+,134.0,0.1791044776119403,24.0,0.7272727272727273

Cluster 3,15 below,32.0,0.15625,5.0,0.15151515151515152
Cluster 3,16-19,32.0,0.53125,17.0,0.5151515151515151
Cluster 3,20-29,32.0,0.03125,1.0,0.09090909090909091
Cluster 3,30-39,32.0,0.03125,1.0,0.038461538461538464
Cluster 3,40-49,32.0,0.0625,2.0,0.05405405405405406
Cluster 3,50+,32.0,0.1875,6.0,0.18181818181818182

Cluster 4,15 below,0.0,0.0,0.0,0.0
Cluster 4,16-19,0.0,0.0,0.0,0.0
Cluster 4,20-29,0.0,0.0,0.0,0.0
Cluster 4,30-39,0.0,0.0,0.0,0.0
Cluster 4,40-49,0.0,0.0,0.0,0.0
Cluster 4,50+,0.0,0.0,0.0,0.0

Cluster 5,15 below,0.0,0.0,0.0,0.0
Cluster 5,16-19,0.0,0.0,0.0,0.0
Cluster 5,20-29,0.0,0.0,0.0,0.0
Cluster 5,30-39,0.0,0.0,0.0,0.0
Cluster 5,40-49,0.0,0.0,0.0,0.0
Cluster 5,50+,0.0,0.0,0.0,0.0

Cluster 6,15 below,0.0,0.0,0.0,0.0
Cluster 6,16-19,0.0,0.0,0.0,0.0
Cluster 6,20-29,0.0,0.0,0.0,0.0
Cluster 6,30-39,0.0,0.0,0.0,0.0
Cluster 6,40-49,0.0,0.0,0.0,0.0
Cluster 6,50+,0.0,0.0,0.0,0.0

