Cluster,label,totalDataPoints,PercentLabelInCluster, numberOfDataPointsPerLabelInCluster,percentOfLabelTypeInCluster
Cluster 1,15 below,7.0,0.14285714285714285,1.0,0.030303030303030304
Cluster 1,16-19,7.0,0.0,0.0,0.0
Cluster 1,20-29,7.0,0.0,0.0,0.0
Cluster 1,30-39,7.0,0.0,0.0,0.0
Cluster 1,40-49,7.0,0.42857142857142855,3.0,0.08108108108108109
Cluster 1,50+,7.0,0.42857142857142855,3.0,0.09090909090909091

Cluster 2,15 below,54.0,0.09259259259259259,5.0,0.15151515151515152
Cluster 2,16-19,54.0,0.14814814814814814,8.0,0.24242424242424243
Cluster 2,20-29,54.0,0.1111111111111111,6.0,0.5454545454545454
Cluster 2,30-39,54.0,0.12962962962962962,7.0,0.2692307692307692
Cluster 2,40-49,54.0,0.3888888888888889,21.0,0.5675675675675675
Cluster 2,50+,54.0,0.12962962962962962,7.0,0.21212121212121213

Cluster 3,15 below,57.0,0.3157894736842105,18.0,0.5454545454545454
Cluster 3,16-19,57.0,0.14035087719298245,8.0,0.24242424242424243
Cluster 3,20-29,57.0,0.07017543859649122,4.0,0.36363636363636365
Cluster 3,30-39,57.0,0.2631578947368421,15.0,0.5769230769230769
Cluster 3,40-49,57.0,0.07017543859649122,4.0,0.10810810810810811
Cluster 3,50+,57.0,0.14035087719298245,8.0,0.24242424242424243

Cluster 4,15 below,32.0,0.15625,5.0,0.15151515151515152
Cluster 4,16-19,32.0,0.53125,17.0,0.5151515151515151
Cluster 4,20-29,32.0,0.03125,1.0,0.09090909090909091
Cluster 4,30-39,32.0,0.03125,1.0,0.038461538461538464
Cluster 4,40-49,32.0,0.0625,2.0,0.05405405405405406
Cluster 4,50+,32.0,0.1875,6.0,0.18181818181818182

Cluster 5,15 below,23.0,0.17391304347826086,4.0,0.12121212121212122
Cluster 5,16-19,23.0,0.0,0.0,0.0
Cluster 5,20-29,23.0,0.0,0.0,0.0
Cluster 5,30-39,23.0,0.13043478260869565,3.0,0.11538461538461539
Cluster 5,40-49,23.0,0.30434782608695654,7.0,0.1891891891891892
Cluster 5,50+,23.0,0.391304347826087,9.0,0.2727272727272727

Cluster 6,15 below,0.0,0.0,0.0,0.0
Cluster 6,16-19,0.0,0.0,0.0,0.0
Cluster 6,20-29,0.0,0.0,0.0,0.0
Cluster 6,30-39,0.0,0.0,0.0,0.0
Cluster 6,40-49,0.0,0.0,0.0,0.0
Cluster 6,50+,0.0,0.0,0.0,0.0

