Cluster,label,totalDataPoints,PercentLabelInCluster, numberOfDataPointsPerLabelInCluster,percentOfLabelTypeInCluster
Cluster 1,15 below,27.0,0.037037037037037035,1.0,0.030303030303030304
Cluster 1,16-19,27.0,0.2222222222222222,6.0,0.18181818181818182
Cluster 1,20-29,27.0,0.0,0.0,0.0
Cluster 1,30-39,27.0,0.18518518518518517,5.0,0.19230769230769232
Cluster 1,40-49,27.0,0.2222222222222222,6.0,0.16216216216216217
Cluster 1,50+,27.0,0.3333333333333333,9.0,0.2727272727272727

Cluster 2,15 below,41.0,0.04878048780487805,2.0,0.06060606060606061
Cluster 2,16-19,41.0,0.024390243902439025,1.0,0.030303030303030304
Cluster 2,20-29,41.0,0.0,0.0,0.0
Cluster 2,30-39,41.0,0.12195121951219512,5.0,0.19230769230769232
Cluster 2,40-49,41.0,0.6341463414634146,26.0,0.7027027027027027
Cluster 2,50+,41.0,0.17073170731707318,7.0,0.21212121212121213

Cluster 3,15 below,18.0,0.0,0.0,0.0
Cluster 3,16-19,18.0,0.6111111111111112,11.0,0.3333333333333333
Cluster 3,20-29,18.0,0.0,0.0,0.0
Cluster 3,30-39,18.0,0.05555555555555555,1.0,0.038461538461538464
Cluster 3,40-49,18.0,0.1111111111111111,2.0,0.05405405405405406
Cluster 3,50+,18.0,0.2222222222222222,4.0,0.12121212121212122

Cluster 4,15 below,16.0,0.3125,5.0,0.15151515151515152
Cluster 4,16-19,16.0,0.375,6.0,0.18181818181818182
Cluster 4,20-29,16.0,0.0625,1.0,0.09090909090909091
Cluster 4,30-39,16.0,0.0625,1.0,0.038461538461538464
Cluster 4,40-49,16.0,0.0,0.0,0.0
Cluster 4,50+,16.0,0.1875,3.0,0.09090909090909091

Cluster 5,15 below,48.0,0.2708333333333333,13.0,0.3939393939393939
Cluster 5,16-19,48.0,0.16666666666666666,8.0,0.24242424242424243
Cluster 5,20-29,48.0,0.16666666666666666,8.0,0.7272727272727273
Cluster 5,30-39,48.0,0.2708333333333333,13.0,0.5
Cluster 5,40-49,48.0,0.020833333333333332,1.0,0.02702702702702703
Cluster 5,50+,48.0,0.10416666666666667,5.0,0.15151515151515152

Cluster 6,15 below,23.0,0.5217391304347826,12.0,0.36363636363636365
Cluster 6,16-19,23.0,0.043478260869565216,1.0,0.030303030303030304
Cluster 6,20-29,23.0,0.08695652173913043,2.0,0.18181818181818182
Cluster 6,30-39,23.0,0.043478260869565216,1.0,0.038461538461538464
Cluster 6,40-49,23.0,0.08695652173913043,2.0,0.05405405405405406
Cluster 6,50+,23.0,0.21739130434782608,5.0,0.15151515151515152

