Cluster,label,totalDataPoints,PercentLabelInCluster, numberOfDataPointsPerLabelInCluster,percentOfLabelTypeInCluster
Cluster 1,15 below,2636.0,0.16805766312594841,443.0,0.8264925373134329
Cluster 1,16-19,2636.0,0.4798937784522003,1265.0,0.8507061197041023
Cluster 1,20-29,2636.0,0.3520485584218513,928.0,0.21318630829313118
Cluster 1,30-39,2636.0,0.0,0.0,0
Cluster 1,40-49,2636.0,0.0,0.0,0
Cluster 1,50+,2636.0,0.0,0.0,0

Cluster 2,15 below,905.0,0.10276243093922652,93.0,0.17350746268656717
Cluster 2,16-19,905.0,0.24530386740331492,222.0,0.14929388029589777
Cluster 2,20-29,905.0,0.6519337016574586,590.0,0.13553870893636571
Cluster 2,30-39,905.0,0.0,0.0,0
Cluster 2,40-49,905.0,0.0,0.0,0
Cluster 2,50+,905.0,0.0,0.0,0

Cluster 3,15 below,2835.0,0.0,0.0,0.0
Cluster 3,16-19,2835.0,0.0,0.0,0.0
Cluster 3,20-29,2835.0,1.0,2835.0,0.6512749827705031
Cluster 3,30-39,2835.0,0.0,0.0,0
Cluster 3,40-49,2835.0,0.0,0.0,0
Cluster 3,50+,2835.0,0.0,0.0,0

Cluster 4,15 below,0.0,0.0,0.0,0.0
Cluster 4,16-19,0.0,0.0,0.0,0.0
Cluster 4,20-29,0.0,0.0,0.0,0.0
Cluster 4,30-39,0.0,0.0,0.0,0
Cluster 4,40-49,0.0,0.0,0.0,0
Cluster 4,50+,0.0,0.0,0.0,0

Cluster 5,15 below,0.0,0.0,0.0,0.0
Cluster 5,16-19,0.0,0.0,0.0,0.0
Cluster 5,20-29,0.0,0.0,0.0,0.0
Cluster 5,30-39,0.0,0.0,0.0,0
Cluster 5,40-49,0.0,0.0,0.0,0
Cluster 5,50+,0.0,0.0,0.0,0

Cluster 6,15 below,0.0,0.0,0.0,0.0
Cluster 6,16-19,0.0,0.0,0.0,0.0
Cluster 6,20-29,0.0,0.0,0.0,0.0
Cluster 6,30-39,0.0,0.0,0.0,0
Cluster 6,40-49,0.0,0.0,0.0,0
Cluster 6,50+,0.0,0.0,0.0,0

