Cluster,label,totalDataPoints,PercentLabelInCluster, numberOfDataPointsPerLabelInCluster,percentOfLabelTypeInCluster
Cluster 1,15 below,124.0,0.3225806451612903,40.0,0.3669724770642202
Cluster 1,16-19,124.0,0.14516129032258066,18.0,0.5
Cluster 1,20-29,124.0,0.532258064516129,66.0,0.3473684210526316
Cluster 1,30-39,124.0,0.0,0.0,0
Cluster 1,40-49,124.0,0.0,0.0,0
Cluster 1,50+,124.0,0.0,0.0,0

Cluster 2,15 below,136.0,0.17647058823529413,24.0,0.22018348623853212
Cluster 2,16-19,136.0,0.11029411764705882,15.0,0.4166666666666667
Cluster 2,20-29,136.0,0.7132352941176471,97.0,0.5105263157894737
Cluster 2,30-39,136.0,0.0,0.0,0
Cluster 2,40-49,136.0,0.0,0.0,0
Cluster 2,50+,136.0,0.0,0.0,0

Cluster 3,15 below,75.0,0.6,45.0,0.41284403669724773
Cluster 3,16-19,75.0,0.04,3.0,0.08333333333333333
Cluster 3,20-29,75.0,0.36,27.0,0.14210526315789473
Cluster 3,30-39,75.0,0.0,0.0,0
Cluster 3,40-49,75.0,0.0,0.0,0
Cluster 3,50+,75.0,0.0,0.0,0

Cluster 4,15 below,0.0,0.0,0.0,0.0
Cluster 4,16-19,0.0,0.0,0.0,0.0
Cluster 4,20-29,0.0,0.0,0.0,0.0
Cluster 4,30-39,0.0,0.0,0.0,0
Cluster 4,40-49,0.0,0.0,0.0,0
Cluster 4,50+,0.0,0.0,0.0,0

Cluster 5,15 below,0.0,0.0,0.0,0.0
Cluster 5,16-19,0.0,0.0,0.0,0.0
Cluster 5,20-29,0.0,0.0,0.0,0.0
Cluster 5,30-39,0.0,0.0,0.0,0
Cluster 5,40-49,0.0,0.0,0.0,0
Cluster 5,50+,0.0,0.0,0.0,0

Cluster 6,15 below,0.0,0.0,0.0,0.0
Cluster 6,16-19,0.0,0.0,0.0,0.0
Cluster 6,20-29,0.0,0.0,0.0,0.0
Cluster 6,30-39,0.0,0.0,0.0,0
Cluster 6,40-49,0.0,0.0,0.0,0
Cluster 6,50+,0.0,0.0,0.0,0

