Cluster,label,totalDataPoints,PercentLabelInCluster, numberOfDataPointsPerLabelInCluster,percentOfLabelTypeInCluster
Cluster 1,15 below,123.0,0.3170731707317073,39.0,0.3577981651376147
Cluster 1,16-19,123.0,0.14634146341463414,18.0,0.5
Cluster 1,20-29,123.0,0.5365853658536586,66.0,0.3473684210526316
Cluster 1,30-39,123.0,0.0,0.0,0
Cluster 1,40-49,123.0,0.0,0.0,0
Cluster 1,50+,123.0,0.0,0.0,0

Cluster 2,15 below,76.0,0.5921052631578947,45.0,0.41284403669724773
Cluster 2,16-19,76.0,0.05263157894736842,4.0,0.1111111111111111
Cluster 2,20-29,76.0,0.35526315789473684,27.0,0.14210526315789473
Cluster 2,30-39,76.0,0.0,0.0,0
Cluster 2,40-49,76.0,0.0,0.0,0
Cluster 2,50+,76.0,0.0,0.0,0

Cluster 3,15 below,136.0,0.18382352941176472,25.0,0.22935779816513763
Cluster 3,16-19,136.0,0.10294117647058823,14.0,0.3888888888888889
Cluster 3,20-29,136.0,0.7132352941176471,97.0,0.5105263157894737
Cluster 3,30-39,136.0,0.0,0.0,0
Cluster 3,40-49,136.0,0.0,0.0,0
Cluster 3,50+,136.0,0.0,0.0,0

Cluster 4,15 below,0.0,0.0,0.0,0.0
Cluster 4,16-19,0.0,0.0,0.0,0.0
Cluster 4,20-29,0.0,0.0,0.0,0.0
Cluster 4,30-39,0.0,0.0,0.0,0
Cluster 4,40-49,0.0,0.0,0.0,0
Cluster 4,50+,0.0,0.0,0.0,0

Cluster 5,15 below,0.0,0.0,0.0,0.0
Cluster 5,16-19,0.0,0.0,0.0,0.0
Cluster 5,20-29,0.0,0.0,0.0,0.0
Cluster 5,30-39,0.0,0.0,0.0,0
Cluster 5,40-49,0.0,0.0,0.0,0
Cluster 5,50+,0.0,0.0,0.0,0

Cluster 6,15 below,0.0,0.0,0.0,0.0
Cluster 6,16-19,0.0,0.0,0.0,0.0
Cluster 6,20-29,0.0,0.0,0.0,0.0
Cluster 6,30-39,0.0,0.0,0.0,0
Cluster 6,40-49,0.0,0.0,0.0,0
Cluster 6,50+,0.0,0.0,0.0,0

