Cluster,label,totalDataPoints,PercentLabelInCluster, numberOfDataPointsPerLabelInCluster,percentOfLabelTypeInCluster
Cluster 1,15 below,541.0,0.6506469500924215,352.0,1.0
Cluster 1,16-19,541.0,0.34935304990757854,189.0,0.7325581395348837
Cluster 1,20-29,541.0,0.0,0.0,0.0
Cluster 1,30-39,541.0,0.0,0.0,0.0
Cluster 1,40-49,541.0,0.0,0.0,0.0
Cluster 1,50+,541.0,0.0,0.0,0.0

Cluster 2,15 below,3627.0,0.0970499035015164,352.0,1.0
Cluster 2,16-19,3627.0,0.07113316790736146,258.0,1.0
Cluster 2,20-29,3627.0,0.09401709401709402,341.0,1.0
Cluster 2,30-39,3627.0,0.3534601599117728,1282.0,1.0
Cluster 2,40-49,3627.0,0.3843396746622553,1394.0,0.444515306122449
Cluster 2,50+,3627.0,0.0,0.0,0.0

Cluster 3,15 below,221.0,1.0,221.0,0.6278409090909091
Cluster 3,16-19,221.0,0.0,0.0,0.0
Cluster 3,20-29,221.0,0.0,0.0,0.0
Cluster 3,30-39,221.0,0.0,0.0,0.0
Cluster 3,40-49,221.0,0.0,0.0,0.0
Cluster 3,50+,221.0,0.0,0.0,0.0

Cluster 4,15 below,1150.0,0.3060869565217391,352.0,1.0
Cluster 4,16-19,1150.0,0.22434782608695653,258.0,1.0
Cluster 4,20-29,1150.0,0.2965217391304348,341.0,1.0
Cluster 4,30-39,1150.0,0.17304347826086958,199.0,0.15522620904836193
Cluster 4,40-49,1150.0,0.0,0.0,0.0
Cluster 4,50+,1150.0,0.0,0.0,0.0

Cluster 5,15 below,1221.0,0.2882882882882883,352.0,1.0
Cluster 5,16-19,1221.0,0.2113022113022113,258.0,1.0
Cluster 5,20-29,1221.0,0.27927927927927926,341.0,1.0
Cluster 5,30-39,1221.0,0.22113022113022113,270.0,0.21060842433697347
Cluster 5,40-49,1221.0,0.0,0.0,0.0
Cluster 5,50+,1221.0,0.0,0.0,0.0

Cluster 6,15 below,156.0,1.0,156.0,0.4431818181818182
Cluster 6,16-19,156.0,0.0,0.0,0.0
Cluster 6,20-29,156.0,0.0,0.0,0.0
Cluster 6,30-39,156.0,0.0,0.0,0.0
Cluster 6,40-49,156.0,0.0,0.0,0.0
Cluster 6,50+,156.0,0.0,0.0,0.0

