Cluster,label,totalDataPoints,PercentLabelInCluster, numberOfDataPointsPerLabelInCluster,percentOfLabelTypeInCluster
Cluster 1,15 below,5171.0,0.059756333397795396,309.0,1.0
Cluster 1,16-19,5171.0,0.04389866563527364,227.0,1.0
Cluster 1,20-29,5171.0,0.05492167859214852,284.0,1.0
Cluster 1,30-39,5171.0,0.2326435892477277,1203.0,1.0
Cluster 1,40-49,5171.0,0.5633339779539741,2913.0,1.0
Cluster 1,50+,5171.0,0.045445755173080644,235.0,0.16319444444444445

Cluster 2,15 below,1205.0,0.2564315352697095,309.0,1.0
Cluster 2,16-19,1205.0,0.1883817427385892,227.0,1.0
Cluster 2,20-29,1205.0,0.23568464730290456,284.0,1.0
Cluster 2,30-39,1205.0,0.31950207468879666,385.0,0.3200332502078138
Cluster 2,40-49,1205.0,0.0,0.0,0.0
Cluster 2,50+,1205.0,0.0,0.0,0.0

Cluster 3,15 below,0.0,0.0,0.0,0.0
Cluster 3,16-19,0.0,0.0,0.0,0.0
Cluster 3,20-29,0.0,0.0,0.0,0.0
Cluster 3,30-39,0.0,0.0,0.0,0.0
Cluster 3,40-49,0.0,0.0,0.0,0.0
Cluster 3,50+,0.0,0.0,0.0,0.0

Cluster 4,15 below,0.0,0.0,0.0,0.0
Cluster 4,16-19,0.0,0.0,0.0,0.0
Cluster 4,20-29,0.0,0.0,0.0,0.0
Cluster 4,30-39,0.0,0.0,0.0,0.0
Cluster 4,40-49,0.0,0.0,0.0,0.0
Cluster 4,50+,0.0,0.0,0.0,0.0

Cluster 5,15 below,0.0,0.0,0.0,0.0
Cluster 5,16-19,0.0,0.0,0.0,0.0
Cluster 5,20-29,0.0,0.0,0.0,0.0
Cluster 5,30-39,0.0,0.0,0.0,0.0
Cluster 5,40-49,0.0,0.0,0.0,0.0
Cluster 5,50+,0.0,0.0,0.0,0.0

Cluster 6,15 below,0.0,0.0,0.0,0.0
Cluster 6,16-19,0.0,0.0,0.0,0.0
Cluster 6,20-29,0.0,0.0,0.0,0.0
Cluster 6,30-39,0.0,0.0,0.0,0.0
Cluster 6,40-49,0.0,0.0,0.0,0.0
Cluster 6,50+,0.0,0.0,0.0,0.0

