Cluster,label,totalDataPoints,PercentLabelInCluster, numberOfDataPointsPerLabelInCluster,percentOfLabelTypeInCluster
Cluster 1,15 below,3637.0,0.02502062139125653,91.0,0.2585227272727273
Cluster 1,16-19,3637.0,0.03464393731097058,126.0,0.4883720930232558
Cluster 1,20-29,3637.0,0.04399230134726423,160.0,0.46920821114369504
Cluster 1,30-39,3637.0,0.18394281000824855,669.0,0.5218408736349454
Cluster 1,40-49,3637.0,0.4778663733846577,1738.0,0.5542091836734694
Cluster 1,50+,3637.0,0.23453395655760242,853.0,0.5513897866839044

Cluster 2,15 below,523.0,0.08221797323135756,43.0,0.12215909090909091
Cluster 2,16-19,523.0,0.02676864244741874,14.0,0.05426356589147287
Cluster 2,20-29,523.0,0.06118546845124283,32.0,0.093841642228739
Cluster 2,30-39,523.0,0.15105162523900573,79.0,0.06162246489859594
Cluster 2,40-49,523.0,0.4321223709369025,226.0,0.07206632653061225
Cluster 2,50+,523.0,0.24665391969407266,129.0,0.08338720103425985

Cluster 3,15 below,217.0,0.06912442396313365,15.0,0.04261363636363636
Cluster 3,16-19,217.0,0.009216589861751152,2.0,0.007751937984496124
Cluster 3,20-29,217.0,0.06912442396313365,15.0,0.04398826979472141
Cluster 3,30-39,217.0,0.16589861751152074,36.0,0.028081123244929798
Cluster 3,40-49,217.0,0.41935483870967744,91.0,0.029017857142857144
Cluster 3,50+,217.0,0.2672811059907834,58.0,0.03749191984486102

Cluster 4,15 below,1130.0,0.06283185840707965,71.0,0.20170454545454544
Cluster 4,16-19,1130.0,0.050442477876106194,57.0,0.22093023255813954
Cluster 4,20-29,1130.0,0.05486725663716814,62.0,0.18181818181818182
Cluster 4,30-39,1130.0,0.2327433628318584,263.0,0.20514820592823713
Cluster 4,40-49,1130.0,0.3292035398230089,372.0,0.11862244897959184
Cluster 4,50+,1130.0,0.26991150442477874,305.0,0.1971557853910795

Cluster 5,15 below,1253.0,0.08619313647246608,108.0,0.3068181818181818
Cluster 5,16-19,1253.0,0.013567438148443736,17.0,0.06589147286821706
Cluster 5,20-29,1253.0,0.028731045490822026,36.0,0.10557184750733138
Cluster 5,30-39,1253.0,0.16679968076616122,209.0,0.16302652106084242
Cluster 5,40-49,1253.0,0.547486033519553,686.0,0.21875
Cluster 5,50+,1253.0,0.15722266560255388,197.0,0.1273432449903038

Cluster 6,15 below,156.0,0.15384615384615385,24.0,0.06818181818181818
Cluster 6,16-19,156.0,0.2692307692307692,42.0,0.16279069767441862
Cluster 6,20-29,156.0,0.23076923076923078,36.0,0.10557184750733138
Cluster 6,30-39,156.0,0.16666666666666666,26.0,0.0202808112324493
Cluster 6,40-49,156.0,0.14743589743589744,23.0,0.007334183673469388
Cluster 6,50+,156.0,0.03205128205128205,5.0,0.003232062055591467

