Cluster,label,totalDataPoints,PercentLabelInCluster, numberOfDataPointsPerLabelInCluster,percentOfLabelTypeInCluster
Cluster 1,15 below,1840.0,0.07880434782608696,145.0,0.4119318181818182
Cluster 1,16-19,1840.0,0.029891304347826088,55.0,0.2131782945736434
Cluster 1,20-29,1840.0,0.034239130434782605,63.0,0.18475073313782991
Cluster 1,30-39,1840.0,0.17771739130434783,327.0,0.2550702028081123
Cluster 1,40-49,1840.0,0.44565217391304346,820.0,0.2614795918367347
Cluster 1,50+,1840.0,0.23369565217391305,430.0,0.2779573367808662

Cluster 2,15 below,238.0,0.008403361344537815,2.0,0.005681818181818182
Cluster 2,16-19,238.0,0.0,0.0,0.0
Cluster 2,20-29,238.0,0.01680672268907563,4.0,0.011730205278592375
Cluster 2,30-39,238.0,0.07563025210084033,18.0,0.014040561622464899
Cluster 2,40-49,238.0,0.8067226890756303,192.0,0.061224489795918366
Cluster 2,50+,238.0,0.09243697478991597,22.0,0.014221073044602456

Cluster 3,15 below,3534.0,0.022071307300509338,78.0,0.2215909090909091
Cluster 3,16-19,3534.0,0.0345217883418223,122.0,0.4728682170542636
Cluster 3,20-29,3534.0,0.04216185625353707,149.0,0.436950146627566
Cluster 3,30-39,3534.0,0.19185059422750425,678.0,0.5288611544461779
Cluster 3,40-49,3534.0,0.49122807017543857,1736.0,0.5535714285714286
Cluster 3,50+,3534.0,0.21816638370118846,771.0,0.49838396897220427

Cluster 4,15 below,160.0,0.15625,25.0,0.07102272727272728
Cluster 4,16-19,160.0,0.2625,42.0,0.16279069767441862
Cluster 4,20-29,160.0,0.225,36.0,0.10557184750733138
Cluster 4,30-39,160.0,0.16875,27.0,0.02106084243369735
Cluster 4,40-49,160.0,0.14375,23.0,0.007334183673469388
Cluster 4,50+,160.0,0.04375,7.0,0.004524886877828055

Cluster 5,15 below,870.0,0.09425287356321839,82.0,0.23295454545454544
Cluster 5,16-19,870.0,0.041379310344827586,36.0,0.13953488372093023
Cluster 5,20-29,870.0,0.07471264367816093,65.0,0.1906158357771261
Cluster 5,30-39,870.0,0.2149425287356322,187.0,0.14586583463338534
Cluster 5,40-49,870.0,0.30689655172413793,267.0,0.08514030612244898
Cluster 5,50+,870.0,0.267816091954023,233.0,0.15061409179056237

Cluster 6,15 below,274.0,0.072992700729927,20.0,0.056818181818181816
Cluster 6,16-19,274.0,0.010948905109489052,3.0,0.011627906976744186
Cluster 6,20-29,274.0,0.08759124087591241,24.0,0.07038123167155426
Cluster 6,30-39,274.0,0.16423357664233576,45.0,0.035101404056162244
Cluster 6,40-49,274.0,0.35766423357664234,98.0,0.03125
Cluster 6,50+,274.0,0.30656934306569344,84.0,0.05429864253393665

