Cluster,label,totalDataPoints,PercentLabelInCluster, numberOfDataPointsPerLabelInCluster,percentOfLabelTypeInCluster
Cluster 1,15 below,901.0,0.08213096559378469,74.0,0.21022727272727273
Cluster 1,16-19,901.0,0.021087680355160933,19.0,0.07364341085271318
Cluster 1,20-29,901.0,0.06548279689234185,59.0,0.17302052785923755
Cluster 1,30-39,901.0,0.13762486126526083,124.0,0.0967238689547582
Cluster 1,40-49,901.0,0.4328523862375139,390.0,0.12436224489795919
Cluster 1,50+,901.0,0.26082130965593786,235.0,0.15190691661279895

Cluster 2,15 below,6015.0,0.04621778886118038,278.0,0.7897727272727273
Cluster 2,16-19,6015.0,0.03973399833748961,239.0,0.9263565891472868
Cluster 2,20-29,6015.0,0.04688279301745636,282.0,0.8269794721407625
Cluster 2,30-39,6015.0,0.19251870324189527,1158.0,0.9032761310452418
Cluster 2,40-49,6015.0,0.456525353283458,2746.0,0.8756377551020408
Cluster 2,50+,6015.0,0.21812136325852036,1312.0,0.848093083387201

Cluster 3,15 below,0.0,0.0,0.0,0.0
Cluster 3,16-19,0.0,0.0,0.0,0.0
Cluster 3,20-29,0.0,0.0,0.0,0.0
Cluster 3,30-39,0.0,0.0,0.0,0.0
Cluster 3,40-49,0.0,0.0,0.0,0.0
Cluster 3,50+,0.0,0.0,0.0,0.0

Cluster 4,15 below,0.0,0.0,0.0,0.0
Cluster 4,16-19,0.0,0.0,0.0,0.0
Cluster 4,20-29,0.0,0.0,0.0,0.0
Cluster 4,30-39,0.0,0.0,0.0,0.0
Cluster 4,40-49,0.0,0.0,0.0,0.0
Cluster 4,50+,0.0,0.0,0.0,0.0

Cluster 5,15 below,0.0,0.0,0.0,0.0
Cluster 5,16-19,0.0,0.0,0.0,0.0
Cluster 5,20-29,0.0,0.0,0.0,0.0
Cluster 5,30-39,0.0,0.0,0.0,0.0
Cluster 5,40-49,0.0,0.0,0.0,0.0
Cluster 5,50+,0.0,0.0,0.0,0.0

Cluster 6,15 below,0.0,0.0,0.0,0.0
Cluster 6,16-19,0.0,0.0,0.0,0.0
Cluster 6,20-29,0.0,0.0,0.0,0.0
Cluster 6,30-39,0.0,0.0,0.0,0.0
Cluster 6,40-49,0.0,0.0,0.0,0.0
Cluster 6,50+,0.0,0.0,0.0,0.0

