Cluster,label,totalDataPoints,PercentLabelInCluster, numberOfDataPointsPerLabelInCluster,percentOfLabelTypeInCluster
Cluster 1,15 below,1064.0,0.05169172932330827,55.0,0.1779935275080906
Cluster 1,16-19,1064.0,0.05451127819548872,58.0,0.2555066079295154
Cluster 1,20-29,1064.0,0.046992481203007516,50.0,0.176056338028169
Cluster 1,30-39,1064.0,0.25469924812030076,271.0,0.22527015793848712
Cluster 1,40-49,1064.0,0.32142857142857145,342.0,0.11740473738414006
Cluster 1,50+,1064.0,0.2706766917293233,288.0,0.2

Cluster 2,15 below,2177.0,0.03628847037207166,79.0,0.255663430420712
Cluster 2,16-19,2177.0,0.0316949931097841,69.0,0.3039647577092511
Cluster 2,20-29,2177.0,0.058337161231051905,127.0,0.4471830985915493
Cluster 2,30-39,2177.0,0.2057877813504823,448.0,0.372402327514547
Cluster 2,40-49,2177.0,0.3550757923748277,773.0,0.26536216958462067
Cluster 2,50+,2177.0,0.3128158015617823,681.0,0.47291666666666665

Cluster 3,15 below,919.0,0.08487486398258977,78.0,0.2524271844660194
Cluster 3,16-19,919.0,0.011969532100108813,11.0,0.048458149779735685
Cluster 3,20-29,919.0,0.029379760609358,27.0,0.09507042253521127
Cluster 3,30-39,919.0,0.1708378672470076,157.0,0.13050706566916043
Cluster 3,40-49,919.0,0.5690968443960827,523.0,0.1795399931342259
Cluster 3,50+,919.0,0.1338411316648531,123.0,0.08541666666666667

Cluster 4,15 below,1405.0,0.019217081850533807,27.0,0.08737864077669903
Cluster 4,16-19,1405.0,0.04697508896797153,66.0,0.2907488986784141
Cluster 4,20-29,1405.0,0.023487544483985764,33.0,0.11619718309859155
Cluster 4,30-39,1405.0,0.1409252669039146,198.0,0.16458852867830423
Cluster 4,40-49,1405.0,0.6590747330960854,926.0,0.3178853415722623
Cluster 4,50+,1405.0,0.1103202846975089,155.0,0.1076388888888889

Cluster 5,15 below,472.0,0.11016949152542373,52.0,0.16828478964401294
Cluster 5,16-19,472.0,0.04449152542372881,21.0,0.09251101321585903
Cluster 5,20-29,472.0,0.07415254237288135,35.0,0.12323943661971831
Cluster 5,30-39,472.0,0.163135593220339,77.0,0.06400665004156277
Cluster 5,40-49,472.0,0.3114406779661017,147.0,0.05046343975283213
Cluster 5,50+,472.0,0.2966101694915254,140.0,0.09722222222222222

Cluster 6,15 below,339.0,0.05309734513274336,18.0,0.05825242718446602
Cluster 6,16-19,339.0,0.0058997050147492625,2.0,0.00881057268722467
Cluster 6,20-29,339.0,0.035398230088495575,12.0,0.04225352112676056
Cluster 6,30-39,339.0,0.15339233038348082,52.0,0.043225270157938485
Cluster 6,40-49,339.0,0.5958702064896755,202.0,0.06934431857191899
Cluster 6,50+,339.0,0.15634218289085547,53.0,0.03680555555555556

