Cluster,label,totalDataPoints,PercentLabelInCluster, numberOfDataPointsPerLabelInCluster,percentOfLabelTypeInCluster
Cluster 1,15 below,392.0,0.10714285714285714,42.0,0.12962962962962962
Cluster 1,16-19,392.0,0.04081632653061224,16.0,0.06926406926406926
Cluster 1,20-29,392.0,0.08163265306122448,32.0,0.10774410774410774
Cluster 1,30-39,392.0,0.1836734693877551,72.0,0.05872756933115824
Cluster 1,40-49,392.0,0.2729591836734694,107.0,0.036026936026936025
Cluster 1,50+,392.0,0.3137755102040816,123.0,0.08277254374158816

Cluster 2,15 below,1035.0,0.07632850241545894,79.0,0.24382716049382716
Cluster 2,16-19,1035.0,0.011594202898550725,12.0,0.05194805194805195
Cluster 2,20-29,1035.0,0.02608695652173913,27.0,0.09090909090909091
Cluster 2,30-39,1035.0,0.157487922705314,163.0,0.132952691680261
Cluster 2,40-49,1035.0,0.5951690821256038,616.0,0.2074074074074074
Cluster 2,50+,1035.0,0.13333333333333333,138.0,0.09286675639300135

Cluster 3,15 below,2390.0,0.0401673640167364,96.0,0.2962962962962963
Cluster 3,16-19,2390.0,0.03138075313807531,75.0,0.3246753246753247
Cluster 3,20-29,2390.0,0.05899581589958159,141.0,0.47474747474747475
Cluster 3,30-39,2390.0,0.21046025104602512,503.0,0.4102773246329527
Cluster 3,40-49,2390.0,0.3493723849372385,835.0,0.28114478114478114
Cluster 3,50+,2390.0,0.30962343096234307,740.0,0.4979811574697174

Cluster 4,15 below,961.0,0.061394380853277836,59.0,0.18209876543209877
Cluster 4,16-19,961.0,0.05931321540062435,57.0,0.24675324675324675
Cluster 4,20-29,961.0,0.053069719042663895,51.0,0.1717171717171717
Cluster 4,30-39,961.0,0.25078043704474506,241.0,0.1965742251223491
Cluster 4,40-49,961.0,0.3142559833506764,302.0,0.10168350168350168
Cluster 4,50+,961.0,0.2611862643080125,251.0,0.16890982503364738

Cluster 5,15 below,219.0,0.0639269406392694,14.0,0.043209876543209874
Cluster 5,16-19,219.0,0.0,0.0,0.0
Cluster 5,20-29,219.0,0.045662100456621,10.0,0.03367003367003367
Cluster 5,30-39,219.0,0.091324200913242,20.0,0.01631321370309951
Cluster 5,40-49,219.0,0.5844748858447488,128.0,0.0430976430976431
Cluster 5,50+,219.0,0.2146118721461187,47.0,0.031628532974428

Cluster 6,15 below,1537.0,0.022121014964216004,34.0,0.10493827160493827
Cluster 6,16-19,1537.0,0.04619388418998048,71.0,0.30735930735930733
Cluster 6,20-29,1537.0,0.02342225113858165,36.0,0.12121212121212122
Cluster 6,30-39,1537.0,0.14769030579050096,227.0,0.18515497553017946
Cluster 6,40-49,1537.0,0.6389069616135329,982.0,0.3306397306397306
Cluster 6,50+,1537.0,0.12166558230318802,187.0,0.12584118438761777

