Cluster,label,totalDataPoints,PercentLabelInCluster, numberOfDataPointsPerLabelInCluster,percentOfLabelTypeInCluster
Cluster 1,15 below,484.0,0.10950413223140495,53.0,0.34868421052631576
Cluster 1,16-19,484.0,0.030991735537190084,15.0,0.15789473684210525
Cluster 1,20-29,484.0,0.05371900826446281,26.0,0.17567567567567569
Cluster 1,30-39,484.0,0.22727272727272727,110.0,0.16152716593245228
Cluster 1,40-49,484.0,0.3140495867768595,152.0,0.10277214334009466
Cluster 1,50+,484.0,0.2644628099173554,128.0,0.1462857142857143

Cluster 2,15 below,780.0,0.011538461538461539,9.0,0.05921052631578947
Cluster 2,16-19,780.0,0.02435897435897436,19.0,0.2
Cluster 2,20-29,780.0,0.03076923076923077,24.0,0.16216216216216217
Cluster 2,30-39,780.0,0.15128205128205127,118.0,0.17327459618208516
Cluster 2,40-49,780.0,0.6115384615384616,477.0,0.3225152129817444
Cluster 2,50+,780.0,0.17051282051282052,133.0,0.152

Cluster 3,15 below,804.0,0.018656716417910446,15.0,0.09868421052631579
Cluster 3,16-19,804.0,0.021144278606965175,17.0,0.17894736842105263
Cluster 3,20-29,804.0,0.04477611940298507,36.0,0.24324324324324326
Cluster 3,30-39,804.0,0.1853233830845771,149.0,0.21879588839941264
Cluster 3,40-49,804.0,0.3793532338308458,305.0,0.20622041920216364
Cluster 3,50+,804.0,0.35074626865671643,282.0,0.3222857142857143

Cluster 4,15 below,333.0,0.042042042042042045,14.0,0.09210526315789473
Cluster 4,16-19,333.0,0.02702702702702703,9.0,0.09473684210526316
Cluster 4,20-29,333.0,0.04804804804804805,16.0,0.10810810810810811
Cluster 4,30-39,333.0,0.2012012012012012,67.0,0.09838472834067548
Cluster 4,40-49,333.0,0.43543543543543545,145.0,0.09803921568627451
Cluster 4,50+,333.0,0.24624624624624625,82.0,0.09371428571428571

Cluster 5,15 below,379.0,0.09498680738786279,36.0,0.23684210526315788
Cluster 5,16-19,379.0,0.052770448548812667,20.0,0.21052631578947367
Cluster 5,20-29,379.0,0.05804749340369393,22.0,0.14864864864864866
Cluster 5,30-39,379.0,0.27440633245382584,104.0,0.1527165932452276
Cluster 5,40-49,379.0,0.23746701846965698,90.0,0.060851926977687626
Cluster 5,50+,379.0,0.28232189973614774,107.0,0.12228571428571429

Cluster 6,15 below,650.0,0.038461538461538464,25.0,0.16447368421052633
Cluster 6,16-19,650.0,0.023076923076923078,15.0,0.15789473684210525
Cluster 6,20-29,650.0,0.036923076923076927,24.0,0.16216216216216217
Cluster 6,30-39,650.0,0.20461538461538462,133.0,0.19530102790014683
Cluster 6,40-49,650.0,0.47692307692307695,310.0,0.20960108181203516
Cluster 6,50+,650.0,0.22,143.0,0.16342857142857142

