Cluster,label,totalDataPoints,PercentLabelInCluster, numberOfDataPointsPerLabelInCluster,percentOfLabelTypeInCluster
Cluster 1,15 below,6861.0,0.049701209736190056,341.0,0.96875
Cluster 1,16-19,6861.0,0.036875091094592624,253.0,0.9806201550387597
Cluster 1,20-29,6861.0,0.049263955691590144,338.0,0.9912023460410557
Cluster 1,30-39,6861.0,0.18627022299956275,1278.0,0.9968798751950078
Cluster 1,40-49,6861.0,0.45459845503570906,3119.0,0.9945790816326531
Cluster 1,50+,6861.0,0.22329106544235533,1532.0,0.9903038138332256

Cluster 2,15 below,9.0,0.4444444444444444,4.0,0.011363636363636364
Cluster 2,16-19,9.0,0.2222222222222222,2.0,0.007751937984496124
Cluster 2,20-29,9.0,0.1111111111111111,1.0,0.002932551319648094
Cluster 2,30-39,9.0,0.0,0.0,0.0
Cluster 2,40-49,9.0,0.0,0.0,0.0
Cluster 2,50+,9.0,0.2222222222222222,2.0,0.001292824822236587

Cluster 3,15 below,3.0,0.0,0.0,0.0
Cluster 3,16-19,3.0,0.0,0.0,0.0
Cluster 3,20-29,3.0,0.0,0.0,0.0
Cluster 3,30-39,3.0,0.0,0.0,0.0
Cluster 3,40-49,3.0,0.6666666666666666,2.0,0.0006377551020408163
Cluster 3,50+,3.0,0.3333333333333333,1.0,0.0006464124111182935

Cluster 4,15 below,12.0,0.4166666666666667,5.0,0.014204545454545454
Cluster 4,16-19,12.0,0.25,3.0,0.011627906976744186
Cluster 4,20-29,12.0,0.0,0.0,0.0
Cluster 4,30-39,12.0,0.0,0.0,0.0
Cluster 4,40-49,12.0,0.08333333333333333,1.0,0.00031887755102040814
Cluster 4,50+,12.0,0.25,3.0,0.0019392372333548805

Cluster 5,15 below,1.0,0.0,0.0,0.0
Cluster 5,16-19,1.0,0.0,0.0,0.0
Cluster 5,20-29,1.0,0.0,0.0,0.0
Cluster 5,30-39,1.0,1.0,1.0,0.00078003120124805
Cluster 5,40-49,1.0,0.0,0.0,0.0
Cluster 5,50+,1.0,0.0,0.0,0.0

Cluster 6,15 below,30.0,0.06666666666666667,2.0,0.005681818181818182
Cluster 6,16-19,30.0,0.0,0.0,0.0
Cluster 6,20-29,30.0,0.06666666666666667,2.0,0.005865102639296188
Cluster 6,30-39,30.0,0.1,3.0,0.00234009360374415
Cluster 6,40-49,30.0,0.4666666666666667,14.0,0.004464285714285714
Cluster 6,50+,30.0,0.3,9.0,0.005817711700064641

