Cluster,label,totalDataPoints,PercentLabelInCluster, numberOfDataPointsPerLabelInCluster,percentOfLabelTypeInCluster
Cluster 1,15 below,1061.0,0.29123468426013194,309.0,1.0
Cluster 1,16-19,1061.0,0.21394910461828465,227.0,1.0
Cluster 1,20-29,1061.0,0.26767200754005654,284.0,1.0
Cluster 1,30-39,1061.0,0.22714420358152687,241.0,0.200332502078138
Cluster 1,40-49,1061.0,0.0,0.0,0.0
Cluster 1,50+,1061.0,0.0,0.0,0.0

Cluster 2,15 below,339.0,0.911504424778761,309.0,1.0
Cluster 2,16-19,339.0,0.08849557522123894,30.0,0.13215859030837004
Cluster 2,20-29,339.0,0.0,0.0,0.0
Cluster 2,30-39,339.0,0.0,0.0,0.0
Cluster 2,40-49,339.0,0.0,0.0,0.0
Cluster 2,50+,339.0,0.0,0.0,0.0

Cluster 3,15 below,1409.0,0.21930447125621008,309.0,1.0
Cluster 3,16-19,1409.0,0.1611071682044003,227.0,1.0
Cluster 3,20-29,1409.0,0.20156139105748758,284.0,1.0
Cluster 3,30-39,1409.0,0.41802696948190204,589.0,0.48960931005818786
Cluster 3,40-49,1409.0,0.0,0.0,0.0
Cluster 3,50+,1409.0,0.0,0.0,0.0

Cluster 4,15 below,2178.0,0.1418732782369146,309.0,1.0
Cluster 4,16-19,2178.0,0.10422405876951331,227.0,1.0
Cluster 4,20-29,2178.0,0.13039485766758493,284.0,1.0
Cluster 4,30-39,2178.0,0.5523415977961432,1203.0,1.0
Cluster 4,40-49,2178.0,0.0711662075298439,155.0,0.05320974939924476
Cluster 4,50+,2178.0,0.0,0.0,0.0

Cluster 5,15 below,919.0,0.33623503808487487,309.0,1.0
Cluster 5,16-19,919.0,0.2470076169749728,227.0,1.0
Cluster 5,20-29,919.0,0.30903155603917304,284.0,1.0
Cluster 5,30-39,919.0,0.10772578890097932,99.0,0.08229426433915212
Cluster 5,40-49,919.0,0.0,0.0,0.0
Cluster 5,50+,919.0,0.0,0.0,0.0

Cluster 6,15 below,470.0,0.6574468085106383,309.0,1.0
Cluster 6,16-19,470.0,0.3425531914893617,161.0,0.7092511013215859
Cluster 6,20-29,470.0,0.0,0.0,0.0
Cluster 6,30-39,470.0,0.0,0.0,0.0
Cluster 6,40-49,470.0,0.0,0.0,0.0
Cluster 6,50+,470.0,0.0,0.0,0.0

