Cluster,label,totalDataPoints,PercentLabelInCluster, numberOfDataPointsPerLabelInCluster,percentOfLabelTypeInCluster
Cluster 1,15 below,470.0,0.11063829787234042,52.0,0.16828478964401294
Cluster 1,16-19,470.0,0.04468085106382979,21.0,0.09251101321585903
Cluster 1,20-29,470.0,0.07234042553191489,34.0,0.11971830985915492
Cluster 1,30-39,470.0,0.16170212765957448,76.0,0.06317539484621779
Cluster 1,40-49,470.0,0.3127659574468085,147.0,0.05046343975283213
Cluster 1,50+,470.0,0.2978723404255319,140.0,0.09722222222222222

Cluster 2,15 below,2178.0,0.03581267217630854,78.0,0.2524271844660194
Cluster 2,16-19,2178.0,0.03168044077134986,69.0,0.3039647577092511
Cluster 2,20-29,2178.0,0.05831037649219467,127.0,0.4471830985915493
Cluster 2,30-39,2178.0,0.2056932966023875,448.0,0.372402327514547
Cluster 2,40-49,2178.0,0.35537190082644626,774.0,0.26570545829042225
Cluster 2,50+,2178.0,0.31313131313131315,682.0,0.4736111111111111

Cluster 3,15 below,1061.0,0.051837888784165884,55.0,0.1779935275080906
Cluster 3,16-19,1061.0,0.05466540999057493,58.0,0.2555066079295154
Cluster 3,20-29,1061.0,0.04806786050895382,51.0,0.1795774647887324
Cluster 3,30-39,1061.0,0.2563619227144204,272.0,0.22610141313383209
Cluster 3,40-49,1061.0,0.31856738925541944,338.0,0.11603158256093375
Cluster 3,50+,1061.0,0.2704995287464656,287.0,0.19930555555555557

Cluster 4,15 below,919.0,0.08596300326441784,79.0,0.255663430420712
Cluster 4,16-19,919.0,0.011969532100108813,11.0,0.048458149779735685
Cluster 4,20-29,919.0,0.029379760609358,27.0,0.09507042253521127
Cluster 4,30-39,919.0,0.16974972796517954,156.0,0.12967581047381546
Cluster 4,40-49,919.0,0.5690968443960827,523.0,0.1795399931342259
Cluster 4,50+,919.0,0.1338411316648531,123.0,0.08541666666666667

Cluster 5,15 below,1409.0,0.0191625266146203,27.0,0.08737864077669903
Cluster 5,16-19,1409.0,0.0468417317246274,66.0,0.2907488986784141
Cluster 5,20-29,1409.0,0.0234208658623137,33.0,0.11619718309859155
Cluster 5,30-39,1409.0,0.14123491838183108,199.0,0.16541978387364922
Cluster 5,40-49,1409.0,0.6593328601845281,929.0,0.318915207689667
Cluster 5,50+,1409.0,0.11000709723207949,155.0,0.1076388888888889

Cluster 6,15 below,339.0,0.05309734513274336,18.0,0.05825242718446602
Cluster 6,16-19,339.0,0.0058997050147492625,2.0,0.00881057268722467
Cluster 6,20-29,339.0,0.035398230088495575,12.0,0.04225352112676056
Cluster 6,30-39,339.0,0.15339233038348082,52.0,0.043225270157938485
Cluster 6,40-49,339.0,0.5958702064896755,202.0,0.06934431857191899
Cluster 6,50+,339.0,0.15634218289085547,53.0,0.03680555555555556

