Cluster,label,totalDataPoints,PercentLabelInCluster, numberOfDataPointsPerLabelInCluster,percentOfLabelTypeInCluster
Cluster 1,15 below,73.0,0.0273972602739726,2.0,0.05405405405405406
Cluster 1,16-19,73.0,0.5342465753424658,39.0,0.46987951807228917
Cluster 1,20-29,73.0,0.0,0.0,0.0
Cluster 1,30-39,73.0,0.0547945205479452,4.0,0.15384615384615385
Cluster 1,40-49,73.0,0.2465753424657534,18.0,0.11688311688311688
Cluster 1,50+,73.0,0.136986301369863,10.0,0.24390243902439024

Cluster 2,15 below,111.0,0.17117117117117117,19.0,0.5135135135135135
Cluster 2,16-19,111.0,0.15315315315315314,17.0,0.20481927710843373
Cluster 2,20-29,111.0,0.036036036036036036,4.0,0.36363636363636365
Cluster 2,30-39,111.0,0.11711711711711711,13.0,0.5
Cluster 2,40-49,111.0,0.46846846846846846,52.0,0.33766233766233766
Cluster 2,50+,111.0,0.05405405405405406,6.0,0.14634146341463414

Cluster 3,15 below,16.0,0.0625,1.0,0.02702702702702703
Cluster 3,16-19,16.0,0.0,0.0,0.0
Cluster 3,20-29,16.0,0.0,0.0,0.0
Cluster 3,30-39,16.0,0.0,0.0,0.0
Cluster 3,40-49,16.0,0.6875,11.0,0.07142857142857142
Cluster 3,50+,16.0,0.25,4.0,0.0975609756097561

Cluster 4,15 below,5.0,0.0,0.0,0.0
Cluster 4,16-19,5.0,0.0,0.0,0.0
Cluster 4,20-29,5.0,0.0,0.0,0.0
Cluster 4,30-39,5.0,0.0,0.0,0.0
Cluster 4,40-49,5.0,0.8,4.0,0.025974025974025976
Cluster 4,50+,5.0,0.2,1.0,0.024390243902439025

Cluster 5,15 below,120.0,0.05,6.0,0.16216216216216217
Cluster 5,16-19,120.0,0.14166666666666666,17.0,0.20481927710843373
Cluster 5,20-29,120.0,0.05,6.0,0.5454545454545454
Cluster 5,30-39,120.0,0.06666666666666667,8.0,0.3076923076923077
Cluster 5,40-49,120.0,0.5666666666666667,68.0,0.44155844155844154
Cluster 5,50+,120.0,0.125,15.0,0.36585365853658536

Cluster 6,15 below,27.0,0.3333333333333333,9.0,0.24324324324324326
Cluster 6,16-19,27.0,0.37037037037037035,10.0,0.12048192771084337
Cluster 6,20-29,27.0,0.037037037037037035,1.0,0.09090909090909091
Cluster 6,30-39,27.0,0.037037037037037035,1.0,0.038461538461538464
Cluster 6,40-49,27.0,0.037037037037037035,1.0,0.006493506493506494
Cluster 6,50+,27.0,0.18518518518518517,5.0,0.12195121951219512

