Cluster,label,totalDataPoints,PercentLabelInCluster, numberOfDataPointsPerLabelInCluster,percentOfLabelTypeInCluster
Cluster 1,15 below,204.0,0.10784313725490197,22.0,0.7857142857142857
Cluster 1,16-19,204.0,0.16176470588235295,33.0,0.532258064516129
Cluster 1,20-29,204.0,0.04411764705882353,9.0,1.0
Cluster 1,30-39,204.0,0.08823529411764706,18.0,0.72
Cluster 1,40-49,204.0,0.5147058823529411,105.0,0.7835820895522388
Cluster 1,50+,204.0,0.08333333333333333,17.0,0.53125

Cluster 2,15 below,86.0,0.06976744186046512,6.0,0.21428571428571427
Cluster 2,16-19,86.0,0.3372093023255814,29.0,0.46774193548387094
Cluster 2,20-29,86.0,0.0,0.0,0.0
Cluster 2,30-39,86.0,0.08139534883720931,7.0,0.28
Cluster 2,40-49,86.0,0.3372093023255814,29.0,0.21641791044776118
Cluster 2,50+,86.0,0.1744186046511628,15.0,0.46875

Cluster 3,15 below,0.0,0.0,0.0,0.0
Cluster 3,16-19,0.0,0.0,0.0,0.0
Cluster 3,20-29,0.0,0.0,0.0,0.0
Cluster 3,30-39,0.0,0.0,0.0,0.0
Cluster 3,40-49,0.0,0.0,0.0,0.0
Cluster 3,50+,0.0,0.0,0.0,0.0

Cluster 4,15 below,0.0,0.0,0.0,0.0
Cluster 4,16-19,0.0,0.0,0.0,0.0
Cluster 4,20-29,0.0,0.0,0.0,0.0
Cluster 4,30-39,0.0,0.0,0.0,0.0
Cluster 4,40-49,0.0,0.0,0.0,0.0
Cluster 4,50+,0.0,0.0,0.0,0.0

Cluster 5,15 below,0.0,0.0,0.0,0.0
Cluster 5,16-19,0.0,0.0,0.0,0.0
Cluster 5,20-29,0.0,0.0,0.0,0.0
Cluster 5,30-39,0.0,0.0,0.0,0.0
Cluster 5,40-49,0.0,0.0,0.0,0.0
Cluster 5,50+,0.0,0.0,0.0,0.0

Cluster 6,15 below,0.0,0.0,0.0,0.0
Cluster 6,16-19,0.0,0.0,0.0,0.0
Cluster 6,20-29,0.0,0.0,0.0,0.0
Cluster 6,30-39,0.0,0.0,0.0,0.0
Cluster 6,40-49,0.0,0.0,0.0,0.0
Cluster 6,50+,0.0,0.0,0.0,0.0

