Cluster,label,totalDataPoints,PercentLabelInCluster, numberOfDataPointsPerLabelInCluster,percentOfLabelTypeInCluster
Cluster 1,15 below,49.0,0.16326530612244897,8.0,0.2222222222222222
Cluster 1,16-19,49.0,0.4489795918367347,22.0,0.26506024096385544
Cluster 1,20-29,49.0,0.02040816326530612,1.0,0.09090909090909091
Cluster 1,30-39,49.0,0.02040816326530612,1.0,0.038461538461538464
Cluster 1,40-49,49.0,0.16326530612244897,8.0,0.05194805194805195
Cluster 1,50+,49.0,0.1836734693877551,9.0,0.21951219512195122

Cluster 2,15 below,302.0,0.09271523178807947,28.0,0.7777777777777778
Cluster 2,16-19,302.0,0.20198675496688742,61.0,0.7349397590361446
Cluster 2,20-29,302.0,0.033112582781456956,10.0,0.9090909090909091
Cluster 2,30-39,302.0,0.08278145695364239,25.0,0.9615384615384616
Cluster 2,40-49,302.0,0.48344370860927155,146.0,0.948051948051948
Cluster 2,50+,302.0,0.10596026490066225,32.0,0.7804878048780488

Cluster 3,15 below,0.0,0.0,0.0,0.0
Cluster 3,16-19,0.0,0.0,0.0,0.0
Cluster 3,20-29,0.0,0.0,0.0,0.0
Cluster 3,30-39,0.0,0.0,0.0,0.0
Cluster 3,40-49,0.0,0.0,0.0,0.0
Cluster 3,50+,0.0,0.0,0.0,0.0

Cluster 4,15 below,0.0,0.0,0.0,0.0
Cluster 4,16-19,0.0,0.0,0.0,0.0
Cluster 4,20-29,0.0,0.0,0.0,0.0
Cluster 4,30-39,0.0,0.0,0.0,0.0
Cluster 4,40-49,0.0,0.0,0.0,0.0
Cluster 4,50+,0.0,0.0,0.0,0.0

Cluster 5,15 below,0.0,0.0,0.0,0.0
Cluster 5,16-19,0.0,0.0,0.0,0.0
Cluster 5,20-29,0.0,0.0,0.0,0.0
Cluster 5,30-39,0.0,0.0,0.0,0.0
Cluster 5,40-49,0.0,0.0,0.0,0.0
Cluster 5,50+,0.0,0.0,0.0,0.0

Cluster 6,15 below,0.0,0.0,0.0,0.0
Cluster 6,16-19,0.0,0.0,0.0,0.0
Cluster 6,20-29,0.0,0.0,0.0,0.0
Cluster 6,30-39,0.0,0.0,0.0,0.0
Cluster 6,40-49,0.0,0.0,0.0,0.0
Cluster 6,50+,0.0,0.0,0.0,0.0

