Cluster,label,totalDataPoints,PercentLabelInCluster, numberOfDataPointsPerLabelInCluster,percentOfLabelTypeInCluster
Cluster 1,15 below,124.0,0.1532258064516129,19.0,0.59375
Cluster 1,16-19,124.0,0.1693548387096774,21.0,0.2727272727272727
Cluster 1,20-29,124.0,0.03225806451612903,4.0,0.36363636363636365
Cluster 1,30-39,124.0,0.11290322580645161,14.0,0.56
Cluster 1,40-49,124.0,0.45161290322580644,56.0,0.3684210526315789
Cluster 1,50+,124.0,0.08064516129032258,10.0,0.2631578947368421

Cluster 2,15 below,136.0,0.051470588235294115,7.0,0.21875
Cluster 2,16-19,136.0,0.125,17.0,0.22077922077922077
Cluster 2,20-29,136.0,0.04411764705882353,6.0,0.5454545454545454
Cluster 2,30-39,136.0,0.0661764705882353,9.0,0.36
Cluster 2,40-49,136.0,0.5882352941176471,80.0,0.5263157894736842
Cluster 2,50+,136.0,0.125,17.0,0.4473684210526316

Cluster 3,15 below,75.0,0.08,6.0,0.1875
Cluster 3,16-19,75.0,0.52,39.0,0.5064935064935064
Cluster 3,20-29,75.0,0.013333333333333334,1.0,0.09090909090909091
Cluster 3,30-39,75.0,0.02666666666666667,2.0,0.08
Cluster 3,40-49,75.0,0.21333333333333335,16.0,0.10526315789473684
Cluster 3,50+,75.0,0.14666666666666667,11.0,0.2894736842105263

Cluster 4,15 below,0.0,0.0,0.0,0.0
Cluster 4,16-19,0.0,0.0,0.0,0.0
Cluster 4,20-29,0.0,0.0,0.0,0.0
Cluster 4,30-39,0.0,0.0,0.0,0.0
Cluster 4,40-49,0.0,0.0,0.0,0.0
Cluster 4,50+,0.0,0.0,0.0,0.0

Cluster 5,15 below,0.0,0.0,0.0,0.0
Cluster 5,16-19,0.0,0.0,0.0,0.0
Cluster 5,20-29,0.0,0.0,0.0,0.0
Cluster 5,30-39,0.0,0.0,0.0,0.0
Cluster 5,40-49,0.0,0.0,0.0,0.0
Cluster 5,50+,0.0,0.0,0.0,0.0

Cluster 6,15 below,0.0,0.0,0.0,0.0
Cluster 6,16-19,0.0,0.0,0.0,0.0
Cluster 6,20-29,0.0,0.0,0.0,0.0
Cluster 6,30-39,0.0,0.0,0.0,0.0
Cluster 6,40-49,0.0,0.0,0.0,0.0
Cluster 6,50+,0.0,0.0,0.0,0.0

