Cluster,label,totalDataPoints,PercentLabelInCluster, numberOfDataPointsPerLabelInCluster,percentOfLabelTypeInCluster
Cluster 1,15 below,111.0,0.17117117117117117,19.0,0.59375
Cluster 1,16-19,111.0,0.17117117117117117,19.0,0.24675324675324675
Cluster 1,20-29,111.0,0.036036036036036036,4.0,0.36363636363636365
Cluster 1,30-39,111.0,0.09009009009009009,10.0,0.4
Cluster 1,40-49,111.0,0.46846846846846846,52.0,0.34210526315789475
Cluster 1,50+,111.0,0.06306306306306306,7.0,0.18421052631578946

Cluster 2,15 below,32.0,0.125,4.0,0.125
Cluster 2,16-19,32.0,0.5,16.0,0.2077922077922078
Cluster 2,20-29,32.0,0.03125,1.0,0.09090909090909091
Cluster 2,30-39,32.0,0.0,0.0,0.0
Cluster 2,40-49,32.0,0.15625,5.0,0.03289473684210526
Cluster 2,50+,32.0,0.1875,6.0,0.15789473684210525

Cluster 3,15 below,69.0,0.043478260869565216,3.0,0.09375
Cluster 3,16-19,69.0,0.391304347826087,27.0,0.35064935064935066
Cluster 3,20-29,69.0,0.0,0.0,0.0
Cluster 3,30-39,69.0,0.10144927536231885,7.0,0.28
Cluster 3,40-49,69.0,0.2753623188405797,19.0,0.125
Cluster 3,50+,69.0,0.18840579710144928,13.0,0.34210526315789475

Cluster 4,15 below,123.0,0.04878048780487805,6.0,0.1875
Cluster 4,16-19,123.0,0.12195121951219512,15.0,0.19480519480519481
Cluster 4,20-29,123.0,0.04878048780487805,6.0,0.5454545454545454
Cluster 4,30-39,123.0,0.06504065040650407,8.0,0.32
Cluster 4,40-49,123.0,0.6178861788617886,76.0,0.5
Cluster 4,50+,123.0,0.0975609756097561,12.0,0.3157894736842105

Cluster 5,15 below,0.0,0.0,0.0,0.0
Cluster 5,16-19,0.0,0.0,0.0,0.0
Cluster 5,20-29,0.0,0.0,0.0,0.0
Cluster 5,30-39,0.0,0.0,0.0,0.0
Cluster 5,40-49,0.0,0.0,0.0,0.0
Cluster 5,50+,0.0,0.0,0.0,0.0

Cluster 6,15 below,0.0,0.0,0.0,0.0
Cluster 6,16-19,0.0,0.0,0.0,0.0
Cluster 6,20-29,0.0,0.0,0.0,0.0
Cluster 6,30-39,0.0,0.0,0.0,0.0
Cluster 6,40-49,0.0,0.0,0.0,0.0
Cluster 6,50+,0.0,0.0,0.0,0.0

