Cluster,label,totalDataPoints,PercentLabelInCluster, numberOfDataPointsPerLabelInCluster,percentOfLabelTypeInCluster
Cluster 1,15 below,70.0,0.05714285714285714,4.0,0.14285714285714285
Cluster 1,16-19,70.0,0.14285714285714285,10.0,0.16129032258064516
Cluster 1,20-29,70.0,0.0,0.0,0.0
Cluster 1,30-39,70.0,0.02857142857142857,2.0,0.08
Cluster 1,40-49,70.0,0.7142857142857143,50.0,0.373134328358209
Cluster 1,50+,70.0,0.05714285714285714,4.0,0.125

Cluster 2,15 below,38.0,0.10526315789473684,4.0,0.14285714285714285
Cluster 2,16-19,38.0,0.3157894736842105,12.0,0.1935483870967742
Cluster 2,20-29,38.0,0.10526315789473684,4.0,0.4444444444444444
Cluster 2,30-39,38.0,0.21052631578947367,8.0,0.32
Cluster 2,40-49,38.0,0.18421052631578946,7.0,0.05223880597014925
Cluster 2,50+,38.0,0.07894736842105263,3.0,0.09375

Cluster 3,15 below,51.0,0.0392156862745098,2.0,0.07142857142857142
Cluster 3,16-19,51.0,0.47058823529411764,24.0,0.3870967741935484
Cluster 3,20-29,51.0,0.0,0.0,0.0
Cluster 3,30-39,51.0,0.0784313725490196,4.0,0.16
Cluster 3,40-49,51.0,0.27450980392156865,14.0,0.1044776119402985
Cluster 3,50+,51.0,0.13725490196078433,7.0,0.21875

Cluster 4,15 below,26.0,0.3076923076923077,8.0,0.2857142857142857
Cluster 4,16-19,26.0,0.038461538461538464,1.0,0.016129032258064516
Cluster 4,20-29,26.0,0.038461538461538464,1.0,0.1111111111111111
Cluster 4,30-39,26.0,0.038461538461538464,1.0,0.04
Cluster 4,40-49,26.0,0.38461538461538464,10.0,0.07462686567164178
Cluster 4,50+,26.0,0.19230769230769232,5.0,0.15625

Cluster 5,15 below,35.0,0.0,0.0,0.0
Cluster 5,16-19,35.0,0.08571428571428572,3.0,0.04838709677419355
Cluster 5,20-29,35.0,0.0,0.0,0.0
Cluster 5,30-39,35.0,0.05714285714285714,2.0,0.08
Cluster 5,40-49,35.0,0.5714285714285714,20.0,0.14925373134328357
Cluster 5,50+,35.0,0.2857142857142857,10.0,0.3125

Cluster 6,15 below,70.0,0.14285714285714285,10.0,0.35714285714285715
Cluster 6,16-19,70.0,0.17142857142857143,12.0,0.1935483870967742
Cluster 6,20-29,70.0,0.05714285714285714,4.0,0.4444444444444444
Cluster 6,30-39,70.0,0.11428571428571428,8.0,0.32
Cluster 6,40-49,70.0,0.4714285714285714,33.0,0.2462686567164179
Cluster 6,50+,70.0,0.04285714285714286,3.0,0.09375

