Cluster,label,totalDataPoints,PercentLabelInCluster, numberOfDataPointsPerLabelInCluster,percentOfLabelTypeInCluster
Cluster 1,15 below,99.0,0.12121212121212122,12.0,0.375
Cluster 1,16-19,99.0,0.24242424242424243,24.0,0.3116883116883117
Cluster 1,20-29,99.0,0.0707070707070707,7.0,0.6363636363636364
Cluster 1,30-39,99.0,0.13131313131313133,13.0,0.52
Cluster 1,40-49,99.0,0.3838383838383838,38.0,0.25
Cluster 1,50+,99.0,0.050505050505050504,5.0,0.13157894736842105

Cluster 2,15 below,31.0,0.12903225806451613,4.0,0.125
Cluster 2,16-19,31.0,0.5161290322580645,16.0,0.2077922077922078
Cluster 2,20-29,31.0,0.03225806451612903,1.0,0.09090909090909091
Cluster 2,30-39,31.0,0.0,0.0,0.0
Cluster 2,40-49,31.0,0.16129032258064516,5.0,0.03289473684210526
Cluster 2,50+,31.0,0.16129032258064516,5.0,0.13157894736842105

Cluster 3,15 below,14.0,0.07142857142857142,1.0,0.03125
Cluster 3,16-19,14.0,0.0,0.0,0.0
Cluster 3,20-29,14.0,0.0,0.0,0.0
Cluster 3,30-39,14.0,0.0,0.0,0.0
Cluster 3,40-49,14.0,0.6428571428571429,9.0,0.05921052631578947
Cluster 3,50+,14.0,0.2857142857142857,4.0,0.10526315789473684

Cluster 4,15 below,47.0,0.2765957446808511,13.0,0.40625
Cluster 4,16-19,47.0,0.0425531914893617,2.0,0.025974025974025976
Cluster 4,20-29,47.0,0.0425531914893617,2.0,0.18181818181818182
Cluster 4,30-39,47.0,0.02127659574468085,1.0,0.04
Cluster 4,40-49,47.0,0.5319148936170213,25.0,0.16447368421052633
Cluster 4,50+,47.0,0.0851063829787234,4.0,0.10526315789473684

Cluster 5,15 below,60.0,0.016666666666666666,1.0,0.03125
Cluster 5,16-19,60.0,0.45,27.0,0.35064935064935066
Cluster 5,20-29,60.0,0.0,0.0,0.0
Cluster 5,30-39,60.0,0.11666666666666667,7.0,0.28
Cluster 5,40-49,60.0,0.25,15.0,0.09868421052631579
Cluster 5,50+,60.0,0.16666666666666666,10.0,0.2631578947368421

Cluster 6,15 below,84.0,0.011904761904761904,1.0,0.03125
Cluster 6,16-19,84.0,0.09523809523809523,8.0,0.1038961038961039
Cluster 6,20-29,84.0,0.011904761904761904,1.0,0.09090909090909091
Cluster 6,30-39,84.0,0.047619047619047616,4.0,0.16
Cluster 6,40-49,84.0,0.7142857142857143,60.0,0.39473684210526316
Cluster 6,50+,84.0,0.11904761904761904,10.0,0.2631578947368421

