Cluster,label,totalDataPoints,PercentLabelInCluster, numberOfDataPointsPerLabelInCluster,percentOfLabelTypeInCluster
Cluster 1,15 below,257.0,0.10116731517509728,26.0,0.8125
Cluster 1,16-19,257.0,0.14785992217898833,38.0,0.4935064935064935
Cluster 1,20-29,257.0,0.038910505836575876,10.0,0.9090909090909091
Cluster 1,30-39,257.0,0.08949416342412451,23.0,0.92
Cluster 1,40-49,257.0,0.5214007782101168,134.0,0.881578947368421
Cluster 1,50+,257.0,0.10116731517509728,26.0,0.6842105263157895

Cluster 2,15 below,78.0,0.07692307692307693,6.0,0.1875
Cluster 2,16-19,78.0,0.5,39.0,0.5064935064935064
Cluster 2,20-29,78.0,0.01282051282051282,1.0,0.09090909090909091
Cluster 2,30-39,78.0,0.02564102564102564,2.0,0.08
Cluster 2,40-49,78.0,0.23076923076923078,18.0,0.11842105263157894
Cluster 2,50+,78.0,0.15384615384615385,12.0,0.3157894736842105

Cluster 3,15 below,0.0,0.0,0.0,0.0
Cluster 3,16-19,0.0,0.0,0.0,0.0
Cluster 3,20-29,0.0,0.0,0.0,0.0
Cluster 3,30-39,0.0,0.0,0.0,0.0
Cluster 3,40-49,0.0,0.0,0.0,0.0
Cluster 3,50+,0.0,0.0,0.0,0.0

Cluster 4,15 below,0.0,0.0,0.0,0.0
Cluster 4,16-19,0.0,0.0,0.0,0.0
Cluster 4,20-29,0.0,0.0,0.0,0.0
Cluster 4,30-39,0.0,0.0,0.0,0.0
Cluster 4,40-49,0.0,0.0,0.0,0.0
Cluster 4,50+,0.0,0.0,0.0,0.0

Cluster 5,15 below,0.0,0.0,0.0,0.0
Cluster 5,16-19,0.0,0.0,0.0,0.0
Cluster 5,20-29,0.0,0.0,0.0,0.0
Cluster 5,30-39,0.0,0.0,0.0,0.0
Cluster 5,40-49,0.0,0.0,0.0,0.0
Cluster 5,50+,0.0,0.0,0.0,0.0

Cluster 6,15 below,0.0,0.0,0.0,0.0
Cluster 6,16-19,0.0,0.0,0.0,0.0
Cluster 6,20-29,0.0,0.0,0.0,0.0
Cluster 6,30-39,0.0,0.0,0.0,0.0
Cluster 6,40-49,0.0,0.0,0.0,0.0
Cluster 6,50+,0.0,0.0,0.0,0.0

