Cluster,label,totalDataPoints,PercentLabelInCluster, numberOfDataPointsPerLabelInCluster,percentOfLabelTypeInCluster
Cluster 1,15 below,249.0,0.08032128514056225,20.0,0.625
Cluster 1,16-19,249.0,0.2931726907630522,73.0,0.948051948051948
Cluster 1,20-29,249.0,0.040160642570281124,10.0,0.9090909090909091
Cluster 1,30-39,249.0,0.07630522088353414,19.0,0.76
Cluster 1,40-49,249.0,0.42570281124497994,106.0,0.6973684210526315
Cluster 1,50+,249.0,0.08433734939759036,21.0,0.5526315789473685

Cluster 2,15 below,8.0,0.0,0.0,0.0
Cluster 2,16-19,8.0,0.125,1.0,0.012987012987012988
Cluster 2,20-29,8.0,0.0,0.0,0.0
Cluster 2,30-39,8.0,0.125,1.0,0.04
Cluster 2,40-49,8.0,0.625,5.0,0.03289473684210526
Cluster 2,50+,8.0,0.125,1.0,0.02631578947368421

Cluster 3,15 below,4.0,0.0,0.0,0.0
Cluster 3,16-19,4.0,0.0,0.0,0.0
Cluster 3,20-29,4.0,0.0,0.0,0.0
Cluster 3,30-39,4.0,0.0,0.0,0.0
Cluster 3,40-49,4.0,1.0,4.0,0.02631578947368421
Cluster 3,50+,4.0,0.0,0.0,0.0

Cluster 4,15 below,5.0,0.0,0.0,0.0
Cluster 4,16-19,5.0,0.0,0.0,0.0
Cluster 4,20-29,5.0,0.2,1.0,0.09090909090909091
Cluster 4,30-39,5.0,0.2,1.0,0.04
Cluster 4,40-49,5.0,0.6,3.0,0.019736842105263157
Cluster 4,50+,5.0,0.0,0.0,0.0

Cluster 5,15 below,53.0,0.20754716981132076,11.0,0.34375
Cluster 5,16-19,53.0,0.05660377358490566,3.0,0.03896103896103896
Cluster 5,20-29,53.0,0.0,0.0,0.0
Cluster 5,30-39,53.0,0.07547169811320754,4.0,0.16
Cluster 5,40-49,53.0,0.4528301886792453,24.0,0.15789473684210525
Cluster 5,50+,53.0,0.20754716981132076,11.0,0.2894736842105263

Cluster 6,15 below,16.0,0.0625,1.0,0.03125
Cluster 6,16-19,16.0,0.0,0.0,0.0
Cluster 6,20-29,16.0,0.0,0.0,0.0
Cluster 6,30-39,16.0,0.0,0.0,0.0
Cluster 6,40-49,16.0,0.625,10.0,0.06578947368421052
Cluster 6,50+,16.0,0.3125,5.0,0.13157894736842105

