Cluster,label,totalDataPoints,PercentLabelInCluster, numberOfDataPointsPerLabelInCluster,percentOfLabelTypeInCluster
Cluster 1,15 below,82.0,0.07317073170731707,6.0,0.1875
Cluster 1,16-19,82.0,0.25609756097560976,21.0,0.2727272727272727
Cluster 1,20-29,82.0,0.07317073170731707,6.0,0.5454545454545454
Cluster 1,30-39,82.0,0.15853658536585366,13.0,0.52
Cluster 1,40-49,82.0,0.3902439024390244,32.0,0.21052631578947367
Cluster 1,50+,82.0,0.04878048780487805,4.0,0.10526315789473684

Cluster 2,15 below,68.0,0.07352941176470588,5.0,0.15625
Cluster 2,16-19,68.0,0.5735294117647058,39.0,0.5064935064935064
Cluster 2,20-29,68.0,0.014705882352941176,1.0,0.09090909090909091
Cluster 2,30-39,68.0,0.058823529411764705,4.0,0.16
Cluster 2,40-49,68.0,0.14705882352941177,10.0,0.06578947368421052
Cluster 2,50+,68.0,0.1323529411764706,9.0,0.23684210526315788

Cluster 3,15 below,56.0,0.05357142857142857,3.0,0.09375
Cluster 3,16-19,56.0,0.16071428571428573,9.0,0.11688311688311688
Cluster 3,20-29,56.0,0.03571428571428571,2.0,0.18181818181818182
Cluster 3,30-39,56.0,0.03571428571428571,2.0,0.08
Cluster 3,40-49,56.0,0.6428571428571429,36.0,0.23684210526315788
Cluster 3,50+,56.0,0.07142857142857142,4.0,0.10526315789473684

Cluster 4,15 below,54.0,0.07407407407407407,4.0,0.125
Cluster 4,16-19,54.0,0.12962962962962962,7.0,0.09090909090909091
Cluster 4,20-29,54.0,0.0,0.0,0.0
Cluster 4,30-39,54.0,0.05555555555555555,3.0,0.12
Cluster 4,40-49,54.0,0.5370370370370371,29.0,0.19078947368421054
Cluster 4,50+,54.0,0.2037037037037037,11.0,0.2894736842105263

Cluster 5,15 below,49.0,0.2857142857142857,14.0,0.4375
Cluster 5,16-19,49.0,0.02040816326530612,1.0,0.012987012987012988
Cluster 5,20-29,49.0,0.04081632653061224,2.0,0.18181818181818182
Cluster 5,30-39,49.0,0.04081632653061224,2.0,0.08
Cluster 5,40-49,49.0,0.5510204081632653,27.0,0.17763157894736842
Cluster 5,50+,49.0,0.061224489795918366,3.0,0.07894736842105263

Cluster 6,15 below,26.0,0.0,0.0,0.0
Cluster 6,16-19,26.0,0.0,0.0,0.0
Cluster 6,20-29,26.0,0.0,0.0,0.0
Cluster 6,30-39,26.0,0.038461538461538464,1.0,0.04
Cluster 6,40-49,26.0,0.6923076923076923,18.0,0.11842105263157894
Cluster 6,50+,26.0,0.2692307692307692,7.0,0.18421052631578946

