Cluster,label,totalDataPoints,PercentLabelInCluster, numberOfDataPointsPerLabelInCluster,percentOfLabelTypeInCluster
Cluster 1,15 below,9.0,0.1111111111111111,1.0,0.030303030303030304
Cluster 1,16-19,9.0,0.0,0.0,0.0
Cluster 1,20-29,9.0,0.0,0.0,0.0
Cluster 1,30-39,9.0,0.0,0.0,0.0
Cluster 1,40-49,9.0,0.3333333333333333,3.0,0.03409090909090909
Cluster 1,50+,9.0,0.5555555555555556,5.0,0.125

Cluster 2,15 below,62.0,0.06451612903225806,4.0,0.12121212121212122
Cluster 2,16-19,62.0,0.16129032258064516,10.0,0.1282051282051282
Cluster 2,20-29,62.0,0.016129032258064516,1.0,0.09090909090909091
Cluster 2,30-39,62.0,0.08064516129032258,5.0,0.2
Cluster 2,40-49,62.0,0.5,31.0,0.3522727272727273
Cluster 2,50+,62.0,0.1774193548387097,11.0,0.275

Cluster 3,15 below,32.0,0.15625,5.0,0.15151515151515152
Cluster 3,16-19,32.0,0.53125,17.0,0.21794871794871795
Cluster 3,20-29,32.0,0.03125,1.0,0.09090909090909091
Cluster 3,30-39,32.0,0.0,0.0,0.0
Cluster 3,40-49,32.0,0.09375,3.0,0.03409090909090909
Cluster 3,50+,32.0,0.1875,6.0,0.15

Cluster 4,15 below,51.0,0.0,0.0,0.0
Cluster 4,16-19,51.0,0.5294117647058824,27.0,0.34615384615384615
Cluster 4,20-29,51.0,0.0,0.0,0.0
Cluster 4,30-39,51.0,0.09803921568627451,5.0,0.2
Cluster 4,40-49,51.0,0.17647058823529413,9.0,0.10227272727272728
Cluster 4,50+,51.0,0.19607843137254902,10.0,0.25

Cluster 5,15 below,34.0,0.35294117647058826,12.0,0.36363636363636365
Cluster 5,16-19,34.0,0.058823529411764705,2.0,0.02564102564102564
Cluster 5,20-29,34.0,0.029411764705882353,1.0,0.09090909090909091
Cluster 5,30-39,34.0,0.08823529411764706,3.0,0.12
Cluster 5,40-49,34.0,0.35294117647058826,12.0,0.13636363636363635
Cluster 5,50+,34.0,0.11764705882352941,4.0,0.1

Cluster 6,15 below,87.0,0.12643678160919541,11.0,0.3333333333333333
Cluster 6,16-19,87.0,0.25287356321839083,22.0,0.28205128205128205
Cluster 6,20-29,87.0,0.09195402298850575,8.0,0.7272727272727273
Cluster 6,30-39,87.0,0.13793103448275862,12.0,0.48
Cluster 6,40-49,87.0,0.3448275862068966,30.0,0.3409090909090909
Cluster 6,50+,87.0,0.04597701149425287,4.0,0.1

