'userID', 'avgHoldTime', 'avgSeekTime', 'averageNgramTime', 'I ', 'AL', 'S ', 'KS', 'EI', 'D ', 'AK', 'L ', ' O', 'LE', 'MA', 'IN', 'SI', 'EL', 'E ', 'JA', 'LA', 'label'
0, 85, 3731, 7652, 655, 2090, 1264, 795, 1903, 499, 390, 5523, 593, 1108, 702, 889, 1872, 780, 718, 717, 1123, 0
1, 95, 2130, 4464, 500, 452, 608, 531, 515, 687, None, 1045, 1825, 1123, 687, 1155, 3650, 515, 671, 624, 468, 0
2, 89, 9269, 19361, 288, None, None, None, 10584, None, None, None, 352, 320, None, None, None, None, 288, None, None, 0
3, 97, 1726, 3665, 1265, 784, None, None, None, 560, None, None, None, 912, 856, 624, 1200, None, 855, 2312, 3592, 0
4, 98, 2085, 4392, 616, 648, 2072, 632, 1768, 2736, 680, None, 608, None, 992, 1000, 456, 520, 520, 576, 592, 0
5, 90, 1198, 2583, 432, 672, 448, 528, 560, 400, None, 600, 696, 960, 632, 487, 480, 624, 544, 1040, 480, 0
6, 8, 5157, 10921, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 0
7, 105, 308, 836, 384, 335, 344, None, None, 281, 360, 360, 568, 344, 528, 424, 3408, None, 296, 479, 384, 0
8, 14, 509, 1061, 437, None, None, None, 8232, None, None, None, None, None, None, 324, None, 310, None, None, None, 0
9, 70, 861, 1926, 310, 573, None, None, 9515, None, None, None, 893, None, None, None, 6356, 844, None, None, None, 0
10, 66, 816, 1776, 417, 318, 385, 316, 7117, 368, 750, 490, 935, 265, 381, 703, None, 432, 251, 396, 701, 0
11, 110, 957, 2198, None, None, None, None, None, None, None, None, None, 624, None, None, None, None, None, 3783, None, 0
12, 67, 3364, 7754, None, None, None, None, 3496, None, None, None, None, None, None, None, None, None, None, None, None, 0
13, 94, 766, 1733, 1248, 390, 4056, None, 546, None, None, 811, None, 312, 733, 702, 1450, 452, 593, 764, None, 0
15, 86, 1275, 2739, 359, 452, 749, 2356, 951, 452, 531, None, 686, 343, 1154, 437, 1186, 515, 343, 592, None, 0
16, 90, 2302, 4821, 2356, None, 374, 1077, 390, 1217, 2886, 687, 842, 593, 453, None, 624, 795, 1092, 936, 37783, 0
17, 87, 914, 2067, 831, None, None, None, 13000, None, 1576, None, None, 1968, 1296, 1273, None, None, None, 3400, None, 0
18, 86, 3360, 7002, 1020, None, 535, 669, 27634, 2195, 20170, None, 1086, None, 500, 6170, 653, None, None, 653, 2390, 0
19, 5, 799, 1750, 544, None, None, None, 4534, None, None, None, 624, 390, None, 445, None, 502, 348, None, None, 0
20, 73, 226, 607, 212, None, 333, None, 305, 508, None, 211, 413, 218, 174, 332, 406, None, 601, 312, 338, 0
21, 121, 357, 965, 516, 342, 354, None, None, 283, 318, 472, 337, 315, 317, 288, 355, None, 233, 435, 332, 0
22, 15, 1298, 2959, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 731, None, None, 0
23, 24, 2019, 4327, None, None, None, None, 7858, None, None, None, None, None, None, 571, None, None, 288, None, None, 0
24, 94, 3227, 6733, None, 216, 1696, None, None, 600, None, None, None, 432, None, None, None, None, None, 1144, 616, 0
25, 87, 1319, 2820, 294, 232, 344, 320, 20361, 392, None, None, 196, 368, 257, 368, 311, 337, 392, 560, 265, 0
26, 71, 5744, 11843, None, 224, None, None, None, None, None, None, None, None, None, 78720, None, None, 1081, 432, 320, 0
27, 98, 4523, 9412, None, None, None, 352, 144529, None, None, None, None, None, None, None, None, None, 368, None, None, 0
28, 86, 915, 2009, 531, 608, 624, 671, None, 296, 312, 936, 483, 296, 374, 374, 452, 593, 281, 671, 561, 0
29, 85, 7040, 14287, 640, 280, 390, 920, 6115, 452, 312, 483, 374, 359, 578, 749, 374, 343, 406, 562, 327, 0
30, 103, 4154, 8537, 2262, 515, 15959, 483, 1888, 2668, 749, 2184, 608, 1233, 561, 577, 609, 437, 1747, 702, None, 0
31, 94, 1275, 2745, 2854, 656, 546, 561, 671, 608, None, 1529, 1591, 390, 811, 499, 530, 1388, 344, 655, 639, 0
32, 82, 382, 926, 453, 554, 1219, 551, 1152, 452, None, 584, 452, 418, 601, 805, 480, 534, 421, 781, 423, 0
33, 71, 4474, 9225, 4345, 1976, 1008, None, None, 1055, None, None, None, 1152, None, 776, None, 895, 1233, None, None, 0
34, 75, 2950, 6145, 376, 824, 3456, None, 82775, 1432, None, 736, None, None, None, None, 600, 688, None, 776, 496, 0
35, 82, 670, 1528, 352, 560, None, 304, 304, 312, 416, 384, 872, 632, 392, 456, None, None, 816, 488, None, 0
36, 86, 1241, 2673, 374, 246, 350, 315, None, 755, None, 295, 294, None, None, None, None, None, 781, None, 525, 0
37, 71, 1317, 2809, None, 937, 785, 1216, None, None, None, None, 620, None, 814, 635, None, 12981, 661, 1823, None, 0
38, 100, 248, 702, 622, 448, 264, None, None, 337, 352, 256, 984, 344, 408, 776, 9596, None, 591, 919, 300, 0
39, 86, 1314, 2928, None, None, None, None, 27688, None, None, None, None, None, None, 431, None, None, None, None, None, 0
40, 82, 983, 2293, 1096, None, None, 544, None, None, None, None, 625, 768, None, None, None, None, 824, 21000, None, 0
41, 141, 927, 2296, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 0
42, 86, 9018, 18322, 450, 620, 1191, 1025, 531, 1560, 370, 760, 1410, 340, 792, 470, None, 450, 380, 671, None, 0
43, 109, 807, 1841, 562, 811, 546, None, 952, None, None, 1279, 764, 1513, 562, 983, 812, 624, 780, 827, None, 0
44, 81, 2105, 4414, 452, 873, 344, None, 1123, 546, None, 531, 390, 967, None, 686, None, 561, 437, 2386, None, 0
45, 92, 964, 2134, None, None, 577, None, None, 3806, 874, None, 905, 500, 531, 858, 780, None, 390, 796, 827, 0
46, 87, 832, 1851, 344, 390, 359, 561, 546, None, 327, 546, 390, 312, 671, 687, 500, 406, 312, None, 530, 0
47, 84, 2341, 4874, 609, 920, 374, 1061, None, 484, None, 1077, 359, None, None, None, 1030, 2012, 484, 905, None, 0
48, 95, 3865, 9342, 1096, None, None, None, 32648, None, None, None, 671, 680, None, None, None, None, None, None, None, 0
49, 81, 956, 2121, None, None, None, 634, 787, 420, None, None, None, None, None, None, 767, None, None, 468, None, 0
50, 56, 3548, 8507, 497, None, None, None, 44024, None, None, None, 480, 608, None, None, None, None, None, None, None, 0
51, 101, 533, 1274, 2088, 392, 236, None, 304, 409, 352, 255, 403, 488, 262, 1112, 1223, None, 312, 447, 304, 0
52, 118, 1544, 3340, 454, None, 363, None, 539, 333, None, None, 863, 364, 268, 451, 3783, 353, 686, None, None, 0
53, 71, 2837, 5875, 376, 200, 352, 264, 282, 240, 312, 328, 384, 208, 264, 528, 223, 224, None, None, 456, 0
54, 24, 2019, 4327, None, None, None, None, 7858, None, None, None, None, None, None, 571, None, None, 288, None, None, 0
55, 90, 3417, 7128, 432, None, 792, 440, 1736, 480, None, None, 976, 560, 360, 711, None, 2264, 624, 504, 576, 0
56, 84, 4870, 10094, 1039, 1257, None, None, 10240, 1409, None, None, None, None, 1432, None, None, None, 720, 1312, None, 0
57, 70, 715, 1698, None, None, None, None, None, None, None, None, None, None, 584, None, None, None, None, None, None, 0
58, 98, 877, 1956, 546, 609, 499, 842, 624, 1450, 655, 593, 1310, 1311, 515, 609, 546, 515, 624, 1716, 390, 0
59, 93, 3290, 6762, 780, 873, 609, 593, 967, 2901, 530, 702, 1919, 609, 717, 1295, 514, 546, 452, 390, 733, 0
60, 79, 1243, 2649, 452, 499, 1435, 936, 2028, 531, 437, 406, 718, 655, 499, 561, 546, 7348, 499, 562, 1498, 0
61, 97, 766, 1726, 1139, 687, 578, 499, 3183, 452, 453, 3650, 1311, 671, 483, 3494, 483, 562, 1233, 702, 546, 0
62, 94, 1252, 2692, 1154, 1373, 452, 453, 453, 1248, 468, 1482, 920, 468, 530, 655, 436, 1139, 3120, None, 640, 0
63, 71, 662, 1482, 352, 377, 176, 232, 1208, 207, None, None, 432, 304, 360, None, 352, None, 176, None, 304, 0
64, 72, 1802, 3781, 440, 312, None, None, None, 303, None, None, None, 376, None, 232, None, 432, 232, 272, None, 0
65, 91, 1722, 3644, 536, 248, 464, 656, 328, 584, 248, 1640, 576, 312, 408, None, 488, 264, 824, 232, 344, 0
66, 80, 4623, 9657, 2664, 744, None, None, 27160, 632, None, None, None, None, 976, None, 896, None, 352, 2592, None, 0
67, 96, 3370, 8276, 752, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 5584, None, 0
68, 87, 2487, 5258, 934, None, None, None, None, 2895, None, None, 784, None, None, None, None, 1123, None, 2520, None, 0
69, 106, 1557, 3519, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 9079, None, 0
70, 104, 629, 1476, 864, 1534, 689, 785, 765, 797, None, 909, 789, 1048, 893, 702, 12126, None, 559, 778, 594, 0
71, 68, 807, 1763, 344, None, 345, None, None, 260, None, None, 1322, 840, 718, 336, None, None, None, 300, None, 0
72, 94, 686, 1570, 343, 686, 1824, 780, 468, 951, 577, 750, 780, 811, 546, 968, None, 1436, 3681, 436, 733, 0
73, 113, 1497, 3241, 546, 1077, 608, 874, None, 531, None, 952, 1201, 358, 515, 593, 1372, 422, 795, None, 874, 0
74, 107, 736, 1697, 483, 624, 686, 687, None, 1763, 655, 936, 609, 390, 671, 609, None, 889, 577, 717, None, 0
75, 87, 2811, 5832, 811, 765, 1763, None, 671, 593, None, None, 936, 406, 437, 592, None, 764, 390, 593, 858, 0
76, 80, 238, 612, 386, None, 368, None, None, 439, None, None, 339, 502, 552, 501, None, None, None, 1246, None, 0
77, 99, 342, 980, None, None, None, None, None, None, None, None, None, None, 674, None, None, None, None, None, None, 0
78, 81, 1648, 3525, 516, None, 943, 412, None, 369, None, None, 815, None, None, 2201, None, None, None, None, 698, 0
79, 90, 5938, 13837, None, None, None, None, None, None, None, None, 615, None, None, None, None, None, None, 66921, None, 0
81, 100, 4400, 9111, 744, 352, None, 2168, 2096, 1832, None, 1360, None, None, None, 984, None, 776, 1000, 518, 744, 0
82, 66, 1188, 2544, None, 528, None, None, None, 455, None, 432, 512, None, 1248, None, 1024, 400, None, 945, None, 0
83, 81, 1584, 3361, 926, 602, None, None, None, 782, 8575, None, 769, 464, 600, None, 615, 1033, 1932, 984, 397, 0
85, 91, 734, 1654, 1139, 561, 593, 1311, 343, 1248, 730, 921, 608, 577, 437, 530, 1342, 499, 406, 1498, 905, 0
86, 96, 570, 1335, 578, 717, 1357, 671, 733, 1092, 375, 655, 1186, 577, 437, 390, 562, 1185, 2855, 811, 952, 0
87, 93, 5046, 10300, 584, 1244, 1382, 752, 671, 512, 452, 1190, 1760, 410, 1225, 520, 456, 514, 502, 510, 332, 0
88, 94, 1252, 2692, 1154, 1373, 452, 453, 453, 1248, 468, 1482, 920, 468, 530, 655, 436, 1139, 3120, None, 640, 0
89, 109, 907, 2038, 484, 483, 592, 873, 515, 1107, 531, 655, 1966, 469, 468, 1482, 843, 515, 2246, 1373, 561, 0
90, 71, 600, 1344, 832, 752, 209, 159, 273, 280, 360, 240, 176, 257, 193, 280, 320, 305, 416, 408, 248, 0
91, 88, 1150, 2473, 520, 728, 640, 1359, 984, 1176, 888, 864, 3376, 1064, 1152, 888, 1208, None, 624, 1480, 1112, 0
92, 65, 870, 1945, None, None, None, None, None, 928, None, None, None, None, None, None, None, None, None, 496, None, 0
93, 87, 6634, 13667, 1472, None, None, 897, 872, 1288, None, None, 1192, None, None, 952, 1216, None, None, 648, 1671, 0
94, 88, 5561, 13014, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 0
