'userID', 'avgHoldTime', 'avgSeekTime', 'averageNgramTime', 'I ', 'AL', 'S ', 'KS', 'EI', 'D ', 'AK', 'L ', ' O', 'LE', 'MA', 'IN', 'SI', 'EL', 'E ', 'JA', 'LA', 'label'
0, 85, 3731, 7652, 655, 2090, 1264, 795, 1903, 499, 390, 5523, 593, 1108, 702, 889, 1872, 780, 718, 717, 1123, 0
1, 95, 2130, 4464, 500, 452, 608, 531, 515, 687, 4464, 1045, 1825, 1123, 687, 1155, 3650, 515, 671, 624, 468, 0
2, 89, 9269, 19361, 288, 19361, 19361, 19361, 10584, 19361, 19361, 19361, 352, 320, 19361, 19361, 19361, 19361, 288, 19361, 19361, 0
3, 97, 1726, 3665, 1265, 784, 3665, 3665, 3665, 560, 3665, 3665, 3665, 912, 856, 624, 1200, 3665, 855, 2312, 3592, 0
4, 98, 2085, 4392, 616, 648, 2072, 632, 1768, 2736, 680, 4392, 608, 4392, 992, 1000, 456, 520, 520, 576, 592, 0
5, 90, 1198, 2583, 432, 672, 448, 528, 560, 400, 2583, 600, 696, 960, 632, 487, 480, 624, 544, 1040, 480, 0
6, 8, 5157, 10921, 10921, 10921, 10921, 10921, 10921, 10921, 10921, 10921, 10921, 10921, 10921, 10921, 10921, 10921, 10921, 10921, 10921, 0
7, 105, 308, 836, 384, 335, 344, 836, 836, 281, 360, 360, 568, 344, 528, 424, 3408, 836, 296, 479, 384, 0
8, 14, 509, 1061, 437, 1061, 1061, 1061, 8232, 1061, 1061, 1061, 1061, 1061, 1061, 324, 1061, 310, 1061, 1061, 1061, 0
9, 70, 861, 1926, 310, 573, 1926, 1926, 9515, 1926, 1926, 1926, 893, 1926, 1926, 1926, 6356, 844, 1926, 1926, 1926, 0
10, 66, 816, 1776, 417, 318, 385, 316, 7117, 368, 750, 490, 935, 265, 381, 703, 1776, 432, 251, 396, 701, 0
11, 110, 957, 2198, 2198, 2198, 2198, 2198, 2198, 2198, 2198, 2198, 2198, 624, 2198, 2198, 2198, 2198, 2198, 3783, 2198, 0
12, 67, 3364, 7754, 7754, 7754, 7754, 7754, 3496, 7754, 7754, 7754, 7754, 7754, 7754, 7754, 7754, 7754, 7754, 7754, 7754, 0
13, 94, 766, 1733, 1248, 390, 4056, 1733, 546, 1733, 1733, 811, 1733, 312, 733, 702, 1450, 452, 593, 764, 1733, 0
15, 86, 1275, 2739, 359, 452, 749, 2356, 951, 452, 531, 2739, 686, 343, 1154, 437, 1186, 515, 343, 592, 2739, 0
16, 90, 2302, 4821, 2356, 4821, 374, 1077, 390, 1217, 2886, 687, 842, 593, 453, 4821, 624, 795, 1092, 936, 37783, 0
17, 87, 914, 2067, 831, 2067, 2067, 2067, 13000, 2067, 1576, 2067, 2067, 1968, 1296, 1273, 2067, 2067, 2067, 3400, 2067, 0
18, 86, 3360, 7002, 1020, 7002, 535, 669, 27634, 2195, 20170, 7002, 1086, 7002, 500, 6170, 653, 7002, 7002, 653, 2390, 0
19, 5, 799, 1750, 544, 1750, 1750, 1750, 4534, 1750, 1750, 1750, 624, 390, 1750, 445, 1750, 502, 348, 1750, 1750, 0
20, 73, 226, 607, 212, 607, 333, 607, 305, 508, 607, 211, 413, 218, 174, 332, 406, 607, 601, 312, 338, 0
21, 121, 357, 965, 516, 342, 354, 965, 965, 283, 318, 472, 337, 315, 317, 288, 355, 965, 233, 435, 332, 0
22, 15, 1298, 2959, 2959, 2959, 2959, 2959, 2959, 2959, 2959, 2959, 2959, 2959, 2959, 2959, 2959, 2959, 731, 2959, 2959, 0
23, 24, 2019, 4327, 4327, 4327, 4327, 4327, 7858, 4327, 4327, 4327, 4327, 4327, 4327, 571, 4327, 4327, 288, 4327, 4327, 0
24, 94, 3227, 6733, 6733, 216, 1696, 6733, 6733, 600, 6733, 6733, 6733, 432, 6733, 6733, 6733, 6733, 6733, 1144, 616, 0
25, 87, 1319, 2820, 294, 232, 344, 320, 20361, 392, 2820, 2820, 196, 368, 257, 368, 311, 337, 392, 560, 265, 0
26, 71, 5744, 11843, 11843, 224, 11843, 11843, 11843, 11843, 11843, 11843, 11843, 11843, 11843, 78720, 11843, 11843, 1081, 432, 320, 0
27, 98, 4523, 9412, 9412, 9412, 9412, 352, 144529, 9412, 9412, 9412, 9412, 9412, 9412, 9412, 9412, 9412, 368, 9412, 9412, 0
28, 86, 915, 2009, 531, 608, 624, 671, 2009, 296, 312, 936, 483, 296, 374, 374, 452, 593, 281, 671, 561, 0
29, 85, 7040, 14287, 640, 280, 390, 920, 6115, 452, 312, 483, 374, 359, 578, 749, 374, 343, 406, 562, 327, 0
30, 103, 4154, 8537, 2262, 515, 15959, 483, 1888, 2668, 749, 2184, 608, 1233, 561, 577, 609, 437, 1747, 702, 8537, 0
31, 94, 1275, 2745, 2854, 656, 546, 561, 671, 608, 2745, 1529, 1591, 390, 811, 499, 530, 1388, 344, 655, 639, 0
32, 82, 382, 926, 453, 554, 1219, 551, 1152, 452, 926, 584, 452, 418, 601, 805, 480, 534, 421, 781, 423, 0
33, 71, 4474, 9225, 4345, 1976, 1008, 9225, 9225, 1055, 9225, 9225, 9225, 1152, 9225, 776, 9225, 895, 1233, 9225, 9225, 0
34, 75, 2950, 6145, 376, 824, 3456, 6145, 82775, 1432, 6145, 736, 6145, 6145, 6145, 6145, 600, 688, 6145, 776, 496, 0
35, 82, 670, 1528, 352, 560, 1528, 304, 304, 312, 416, 384, 872, 632, 392, 456, 1528, 1528, 816, 488, 1528, 0
36, 86, 1241, 2673, 374, 246, 350, 315, 2673, 755, 2673, 295, 294, 2673, 2673, 2673, 2673, 2673, 781, 2673, 525, 0
37, 71, 1317, 2809, 2809, 937, 785, 1216, 2809, 2809, 2809, 2809, 620, 2809, 814, 635, 2809, 12981, 661, 1823, 2809, 0
38, 100, 248, 702, 622, 448, 264, 702, 702, 337, 352, 256, 984, 344, 408, 776, 9596, 702, 591, 919, 300, 0
39, 86, 1314, 2928, 2928, 2928, 2928, 2928, 27688, 2928, 2928, 2928, 2928, 2928, 2928, 431, 2928, 2928, 2928, 2928, 2928, 0
40, 82, 983, 2293, 1096, 2293, 2293, 544, 2293, 2293, 2293, 2293, 625, 768, 2293, 2293, 2293, 2293, 824, 21000, 2293, 0
41, 141, 927, 2296, 2296, 2296, 2296, 2296, 2296, 2296, 2296, 2296, 2296, 2296, 2296, 2296, 2296, 2296, 2296, 2296, 2296, 0
42, 86, 9018, 18322, 450, 620, 1191, 1025, 531, 1560, 370, 760, 1410, 340, 792, 470, 18322, 450, 380, 671, 18322, 0
43, 109, 807, 1841, 562, 811, 546, 1841, 952, 1841, 1841, 1279, 764, 1513, 562, 983, 812, 624, 780, 827, 1841, 0
44, 81, 2105, 4414, 452, 873, 344, 4414, 1123, 546, 4414, 531, 390, 967, 4414, 686, 4414, 561, 437, 2386, 4414, 0
45, 92, 964, 2134, 2134, 2134, 577, 2134, 2134, 3806, 874, 2134, 905, 500, 531, 858, 780, 2134, 390, 796, 827, 0
46, 87, 832, 1851, 344, 390, 359, 561, 546, 1851, 327, 546, 390, 312, 671, 687, 500, 406, 312, 1851, 530, 0
47, 84, 2341, 4874, 609, 920, 374, 1061, 4874, 484, 4874, 1077, 359, 4874, 4874, 4874, 1030, 2012, 484, 905, 4874, 0
48, 95, 3865, 9342, 1096, 9342, 9342, 9342, 32648, 9342, 9342, 9342, 671, 680, 9342, 9342, 9342, 9342, 9342, 9342, 9342, 0
