'userID', 'avgHoldTime', 'avgSeekTime', 'averageNgramTime'
0, 87, 2487, 7944
1, 81, 1648, 5336
2, 73, 5337, 16689
3, 91, 1951, 6154
4, 75, 412, 1490
5, 99, 3057, 9555
6, 6, 1088, 3314
7, 75, 1053, 3392
8, 76, 936, 3057
9, 67, 990, 3210
10, 75, 2154, 6801
11, 65, 1306, 4196
12, 92, 966, 3189
14, 100, 3107, 9816
15, 75, 3611, 11262
16, 103, 3047, 9789
17, 85, 4048, 12903
18, 62, 1200, 3861
19, 88, 4467, 13811
20, 66, 1680, 5291
21, 76, 4025, 12451
22, 79, 2699, 8481
23, 81, 4385, 14472
24, 71, 2856, 9044
25, 74, 1146, 3708
26, 79, 521, 1791
27, 83, 3042, 9570
28, 80, 1569, 5015
29, 113, 5693, 18086
30, 102, 700, 2415
31, 16, 1356, 4222
32, 65, 1235, 4058
33, 19, 6367, 31851
34, 71, 2839, 8909
35, 83, 2587, 8075
36, 67, 1300, 4151
37, 84, 2186, 6916
38, 90, 1625, 5199
39, 81, 1635, 5205
40, 90, 1621, 5177
41, 89, 2046, 6465
42, 77, 9538, 30304
43, 79, 3105, 9654
44, 72, 8227, 26321
45, 91, 6885, 22278
46, 79, 5060, 15649
47, 71, 5744, 17927
48, 97, 1726, 5509
49, 71, 4474, 13935
50, 84, 4870, 15282
51, 88, 5561, 16243
52, 142, 4100, 13461
53, 66, 1188, 3838
54, 91, 1722, 5479
55, 96, 3967, 12356
56, 139, 2521, 8245
57, 76, 2335, 7272
58, 87, 6634, 20545
59, 84, 3253, 10112
60, 100, 4400, 13750
61, 80, 4623, 14685
62, 98, 4523, 14248
63, 89, 9269, 29547
64, 75, 2950, 9287
65, 90, 3417, 10777
66, 68, 1111, 3577
67, 93, 3411, 10926
68, 88, 2079, 6534
69, 70, 1559, 5010
70, 114, 836, 2871
71, 119, 2029, 6513
72, 85, 3969, 12596
73, 105, 676, 2464
74, 92, 4934, 15721
75, 57, 3104, 9852
76, 85, 3225, 10012
77, 94, 3227, 10165
78, 98, 2085, 6602
79, 93, 310, 1291
80, 107, 4203, 13025
81, 94, 709, 2421
82, 83, 2890, 9032
83, 86, 3145, 9836
84, 91, 1213, 3926
85, 91, 4289, 13322
86, 68, 1040, 3328
87, 83, 1516, 5226
88, 88, 1150, 3695
89, 74, 919, 2997
90, 84, 9010, 13331
