'userID', 'avgHoldTime', 'avgSeekTime', 'averageNgramTime', 'I ', 'AL', 'S ', 'KS', 'EI', 'D ', 'AK', 'L ', ' O', 'LE', 'MA', 'IN', 'SI', 'EL', 'E ', 'JA', 'LA'
0, 87, 2487, 5258, 934, 5258, 5258, 5258, 5258, 2895, 5258, 5258, 784, 5258, 5258, 5258, 5258, 1123, 5258, 2520, 5258
1, 81, 1648, 3525, 516, 3525, 943, 412, 3525, 369, 3525, 3525, 815, 3525, 3525, 2201, 3525, 3525, 3525, 3525, 698
2, 73, 5337, 11023, 605, 11023, 11023, 11023, 556, 11023, 11023, 367, 449, 481, 11023, 11023, 11023, 522, 199, 252126, 11023
3, 91, 1951, 4098, 592, 4098, 1544, 880, 688, 528, 696, 392, 1840, 1064, 696, 432, 704, 793, 392, 624, 616
4, 75, 412, 987, 987, 408, 272, 328, 987, 361, 987, 987, 526, 987, 987, 353, 447, 987, 987, 987, 535
5, 99, 3057, 6351, 975, 577, 801, 728, 768, 544, 6351, 5414, 985, 943, 712, 880, 922, 1073, 576, 712, 657
6, 6, 1088, 2203, 2203, 2203, 2203, 2203, 2203, 2203, 2203, 2203, 2203, 2203, 2203, 2203, 2203, 2203, 2203, 2203, 2203
7, 75, 1053, 2265, 168, 273, 455, 2265, 784, 640, 280, 160, 520, 321, 2576, 281, 272, 160, 240, 319, 240
8, 76, 936, 2034, 320, 424, 134, 103, 437, 1479, 2034, 297, 168, 337, 192, 408, 296, 184, 504, 199, 320
9, 67, 990, 2135, 367, 1368, 264, 2135, 336, 328, 2135, 2135, 2135, 2135, 2135, 353, 296, 2135, 320, 607, 2327
10, 75, 2154, 4508, 512, 4508, 384, 392, 680, 657, 4508, 4508, 4508, 528, 400, 4508, 6657, 336, 4508, 4508, 431
11, 65, 1306, 2779, 536, 2779, 304, 280, 54159, 288, 2779, 2779, 368, 2779, 2779, 2779, 216, 240, 640, 2779, 248
12, 92, 966, 2124, 488, 208, 976, 288, 294, 272, 384, 400, 616, 384, 608, 488, 448, 345, 568, 360, 328
14, 100, 3107, 6502, 2048, 352, 479, 505, 6502, 376, 6502, 6502, 464, 6502, 271, 6502, 416, 6502, 6502, 6502, 351
15, 75, 3611, 7464, 672, 496, 416, 7464, 7464, 472, 7464, 664, 928, 1048, 504, 1064, 7464, 7464, 761, 784, 832
16, 103, 3047, 6451, 1232, 6451, 6451, 6451, 2048, 6451, 6451, 6451, 336, 400, 6451, 6451, 6451, 6451, 9503, 6451, 6451
17, 85, 4048, 8486, 577, 792, 437, 1400, 8486, 768, 1191, 8486, 689, 8486, 8486, 544, 592, 8486, 472, 8486, 8486
18, 62, 1200, 2559, 504, 264, 2559, 2559, 4464, 2559, 2559, 375, 705, 832, 2559, 2559, 2559, 2559, 2559, 2559, 2559
19, 88, 4467, 9175, 680, 408, 1744, 896, 720, 1872, 9175, 9175, 632, 400, 9175, 9175, 9175, 9175, 9175, 504, 640
20, 66, 1680, 3516, 360, 312, 451, 320, 3361, 335, 3516, 3516, 552, 312, 223, 591, 423, 1049, 328, 1093, 305
21, 76, 4025, 8268, 432, 8268, 400, 8268, 352, 624, 8268, 472, 600, 1328, 8268, 8268, 368, 1009, 752, 480, 431
