"num","userID","avgHoldTime","avgSeekTime","averageNgramTime","I","AL","S","KS","EI","D","AK","L","O","LE","MA","IN","SI","EL","E","JA","LA","label"
"1",0,87,2487,5258,934,717.161561763716,1510.09306853583,639.598602096855,2009.00812182741,2895,1299.6777054997,1747.42926829268,784,675.615716180371,871.495630898287,826.746677515595,760.600287562904,1123,965.053728345468,2520,1000.98157021747,0
"2",1,81,1648,3525,516,717.161561763716,943,412,2009.00812182741,369,1299.6777054997,1747.42926829268,815,675.615716180371,871.495630898287,2201,760.600287562904,647.909686315064,965.053728345468,1379.43897581792,698,0
"3",2,73,5337,11023,605,717.161561763716,1510.09306853583,639.598602096855,556,1177.3096097081,1299.6777054997,367,449,481,871.495630898287,826.746677515595,760.600287562904,522,199,252126,1000.98157021747,0
"4",3,91,1951,4098,592,717.161561763716,1544,880,688,528,696,392,1840,1064,696,432,704,793,392,624,616,0
"5",4,75,412,987,1003.30041724618,408,272,328,2009.00812182741,361,1299.6777054997,1747.42926829268,526,675.615716180371,871.495630898287,353,447,647.909686315064,965.053728345468,1379.43897581792,535,0
"6",5,99,3057,6351,975,577,801,728,768,544,1299.6777054997,5414,985,943,712,880,922,1073,576,712,657,0
"7",6,6,1088,2203,1003.30041724618,717.161561763716,1510.09306853583,639.598602096855,2009.00812182741,1177.3096097081,1299.6777054997,1747.42926829268,1781.12063227953,675.615716180371,871.495630898287,826.746677515595,760.600287562904,647.909686315064,965.053728345468,1379.43897581792,1000.98157021747,0
"8",7,75,1053,2265,168,273,455,639.598602096855,784,640,280,160,520,321,2576,281,272,160,240,319,240,0
"9",8,76,936,2034,320,424,134,103,437,1479,1299.6777054997,297,168,337,192,408,296,184,504,199,320,0
"10",9,67,990,2135,367,1368,264,639.598602096855,336,328,1299.6777054997,1747.42926829268,1781.12063227953,675.615716180371,871.495630898287,353,296,647.909686315064,320,607,2327,0
"11",10,75,2154,4508,512,717.161561763716,384,392,680,657,1299.6777054997,1747.42926829268,1781.12063227953,528,400,826.746677515595,6657,336,965.053728345468,1379.43897581792,431,0
"12",11,65,1306,2779,536,717.161561763716,304,280,54159,288,1299.6777054997,1747.42926829268,368,675.615716180371,871.495630898287,826.746677515595,216,240,640,1379.43897581792,248,0
"13",12,92,966,2124,488,208,976,288,294,272,384,400,616,384,608,488,448,345,568,360,328,0
"14",14,100,3107,6502,2048,352,479,505,2009.00812182741,376,1299.6777054997,1747.42926829268,464,675.615716180371,271,826.746677515595,416,647.909686315064,965.053728345468,1379.43897581792,351,0
"15",15,75,3611,7464,672,496,416,639.598602096855,2009.00812182741,472,1299.6777054997,664,928,1048,504,1064,760.600287562904,647.909686315064,761,784,832,0
"16",16,103,3047,6451,1232,717.161561763716,1510.09306853583,639.598602096855,2048,1177.3096097081,1299.6777054997,1747.42926829268,336,400,871.495630898287,826.746677515595,760.600287562904,647.909686315064,9503,1379.43897581792,1000.98157021747,0
"17",17,85,4048,8486,577,792,437,1400,2009.00812182741,768,1191,1747.42926829268,689,675.615716180371,871.495630898287,544,592,647.909686315064,472,1379.43897581792,1000.98157021747,0
"18",18,62,1200,2559,504,264,1510.09306853583,639.598602096855,4464,1177.3096097081,1299.6777054997,375,705,832,871.495630898287,826.746677515595,760.600287562904,647.909686315064,965.053728345468,1379.43897581792,1000.98157021747,0
"19",19,88,4467,9175,680,408,1744,896,720,1872,1299.6777054997,1747.42926829268,632,400,871.495630898287,826.746677515595,760.600287562904,647.909686315064,965.053728345468,504,640,0
"20",20,66,1680,3516,360,312,451,320,3361,335,1299.6777054997,1747.42926829268,552,312,223,591,423,1049,328,1093,305,0
"21",21,76,4025,8268,432,717.161561763716,400,639.598602096855,352,624,1299.6777054997,472,600,1328,871.495630898287,826.746677515595,368,1009,752,480,431,0
"22",22,79,2699,5619,284,301,1510.09306853583,283,2009.00812182741,316,1299.6777054997,1747.42926829268,241,675.615716180371,871.495630898287,826.746677515595,187,418,269,271,485,0
"23",23,81,4385,9398,1003.30041724618,717.161561763716,1510.09306853583,639.598602096855,2009.00812182741,271,263,1747.42926829268,1781.12063227953,675.615716180371,871.495630898287,826.746677515595,760.600287562904,647.909686315064,965.053728345468,272,1000.98157021747,0
"24",24,71,2856,5972,1003.30041724618,717.161561763716,567,639.598602096855,2009.00812182741,1177.3096097081,1299.6777054997,1747.42926829268,1781.12063227953,675.615716180371,871.495630898287,826.746677515595,760.600287562904,616,560,17512,1000.98157021747,0
"25",25,74,1146,2462,344,345,288,639.598602096855,6055,383,46688,1747.42926829268,409,328,423,455,328,313,965.053728345468,304,448,0
"26",26,79,521,1191,1003.30041724618,717.161561763716,1510.09306853583,639.598602096855,2009.00812182741,344,1299.6777054997,408,1781.12063227953,675.615716180371,871.495630898287,826.746677515595,760.600287562904,647.909686315064,965.053728345468,1379.43897581792,441,0
