num,userID,avgHoldTime,avgSeekTime,averageNgramTime,I,AL,S,KS,EI,D,AK,L,O,LE,MA,IN,SI,EL,E,JA,LA,label
1,0,87,2487,5258,934,717.1615618,1510.093069,639.5986021,2009.008122,2895,1299.677705,1747.429268,784,675.6157162,871.4956309,826.7466775,760.6002876,1123,965.0537283,2520,1000.98157,0
2,1,81,1648,3525,516,717.1615618,943,412,2009.008122,369,1299.677705,1747.429268,815,675.6157162,871.4956309,2201,760.6002876,647.9096863,965.0537283,1379.438976,698,0
3,2,73,5337,11023,605,717.1615618,1510.093069,639.5986021,556,1177.30961,1299.677705,367,449,481,871.4956309,826.7466775,760.6002876,522,199,252126,1000.98157,0
4,3,91,1951,4098,592,717.1615618,1544,880,688,528,696,392,1840,1064,696,432,704,793,392,624,616,0
5,4,75,412,987,1003.300417,408,272,328,2009.008122,361,1299.677705,1747.429268,526,675.6157162,871.4956309,353,447,647.9096863,965.0537283,1379.438976,535,0
6,5,99,3057,6351,975,577,801,728,768,544,1299.677705,5414,985,943,712,880,922,1073,576,712,657,0
7,6,6,1088,2203,1003.300417,717.1615618,1510.093069,639.5986021,2009.008122,1177.30961,1299.677705,1747.429268,1781.120632,675.6157162,871.4956309,826.7466775,760.6002876,647.9096863,965.0537283,1379.438976,1000.98157,0
8,7,75,1053,2265,168,273,455,639.5986021,784,640,280,160,520,321,2576,281,272,160,240,319,240,0
9,8,76,936,2034,320,424,134,103,437,1479,1299.677705,297,168,337,192,408,296,184,504,199,320,0
10,9,67,990,2135,367,1368,264,639.5986021,336,328,1299.677705,1747.429268,1781.120632,675.6157162,871.4956309,353,296,647.9096863,320,607,2327,0
11,10,75,2154,4508,512,717.1615618,384,392,680,657,1299.677705,1747.429268,1781.120632,528,400,826.7466775,6657,336,965.0537283,1379.438976,431,0
12,11,65,1306,2779,536,717.1615618,304,280,54159,288,1299.677705,1747.429268,368,675.6157162,871.4956309,826.7466775,216,240,640,1379.438976,248,0
13,12,92,966,2124,488,208,976,288,294,272,384,400,616,384,608,488,448,345,568,360,328,0
14,14,100,3107,6502,2048,352,479,505,2009.008122,376,1299.677705,1747.429268,464,675.6157162,271,826.7466775,416,647.9096863,965.0537283,1379.438976,351,0
